theta_acc,giro_x,dt,angulo
0.7513772,-0.07221133,0.02,30
0.6634349,-0.07327718,0.02,-30
-3.087307,0.3543951,0.02,-30
3.608378,0.5235988,0.02,-30
5.837556,-0.6864073,0.02,-30
0.4993224,-1.490325,0.02,-30
-2.02108,-1.710156,0.02,-30
-4.592162,-1.735736,0.02,-30
-6.776478,-1.456484,0.02,-30
-4.841194,-1.412518,0.02,-30
-8.867186,-1.314726,0.02,-30
-13.53695,-0.7442297,0.02,-30
-9.668486,-0.3879694,0.02,-30
-10.37946,-0.2486095,0.02,-30
-9.528589,-0.2507412,0.02,-30
-8.162978,-0.1811945,0.02,-30
-9.909503,-0.1713354,0.02,-30
-8.81724,-0.1758652,0.02,-30
-9.523846,-0.103121,0.02,-30
-9.528502,-0.08553446,0.02,-30
-9.277389,-0.06048698,0.02,-30
-9.522099,-0.06528331,0.02,-30
-9.317863,-0.06954671,0.02,-30
-9.357343,-0.06848086,0.02,-30
-9.326001,-0.06874732,0.02,-30
-9.614028,-0.06421746,0.02,-30
-8.856845,-0.07647473,0.02,-30
-9.538925,-0.06155283,0.02,-30
-9.269299,-0.07194487,0.02,-30
-9.310145,-0.07407656,0.02,-30
-9.103103,-0.06848086,0.02,-30
-9.365107,-0.06981317,0.02,-30
-9.344203,-0.0724778,0.02,-30
-9.257662,-0.07381011,0.02,-30
-9.480895,-0.06981317,0.02,-30
-9.528502,-0.07167841,0.02,-30
-9.260902,-0.07407656,0.02,-30
-9.308122,-0.07327718,0.02,-30
-9.293536,-0.07167841,0.02,-30
-9.429273,-0.07221133,0.02,-30
-9.336694,-0.0724778,0.02,-30
-9.352691,-0.07221133,0.02,-30
-9.255639,-0.07194487,0.02,-30
-9.212372,-0.07407656,0.02,-30
-9.315439,-0.07301072,0.02,-30
-9.325818,-0.07194487,0.02,-30
-9.338232,-0.07221133,0.02,-30
-9.233753,-0.07221133,0.02,-30
-9.332113,-0.06981317,0.02,-30
-9.177161,-0.07194487,0.02,-30
-9.346094,-0.07167841,0.02,30
-9.920298,-0.0724778,0.02,30
-17.38698,0.5449158,0.02,30
-5.263734,1.008294,0.02,30
-8.159195,1.245979,0.02,30
-4.547741,1.384806,0.02,30
-2.006552,1.496986,0.02,30
0.3383571,1.769577,0.02,30
-0.8186329,1.695767,0.02,30
3.248137,1.767712,0.02,30
5.46449,1.707758,0.02,30
5.437233,1.659528,0.02,30
8.75458,1.467409,0.02,30
7.195332,1.264897,0.02,30
9.750098,0.6221899,0.02,30
11.08485,-0.05595712,0.02,30
8.334601,0.04743032,0.02,30
10.0109,0.0596876,0.02,30
9.206752,-0.0170536,0.02,30
10.47414,-0.01732006,0.02,30
9.952796,-0.02371516,0.02,30
10.09969,-0.05142726,0.02,30
10.06768,-0.06821439,0.02,30
10.11322,-0.07274425,0.02,30
10.34398,-0.07993874,0.02,30
9.916009,-0.07674119,0.02,30
10.00943,-0.07354365,0.02,30
9.773466,-0.07007963,0.02,30
9.836856,-0.07354365,0.02,30
9.659896,-0.07354365,0.02,30
9.957791,-0.07167841,0.02,30
9.758203,-0.07301072,0.02,30
9.938921,-0.07274425,0.02,30
9.893489,-0.07487596,0.02,30
9.962308,-0.07860643,0.02,30
9.927483,-0.07594181,0.02,30
9.874902,-0.07647473,0.02,30
9.8642,-0.07434303,0.02,30
9.976803,-0.07354365,0.02,30
9.944138,-0.07354365,0.02,30
9.951494,-0.07354365,0.02,30
9.937652,-0.07381011,0.02,30
10.04229,-0.07407656,0.02,30
9.859377,-0.07301072,0.02,30
9.831918,-0.07327718,0.02,30
10.06409,-0.07274425,0.02,30
9.934589,-0.07221133,0.02,30
9.866347,-0.07434303,0.02,30
9.880294,-0.07327718,0.02,30
9.753008,-0.07381011,0.02,30
9.80457,-0.07301072,0.02,30
10.03341,-0.07221133,0.02,-30
9.586537,-0.08073813,0.02,-30
11.66806,-0.4830965,0.02,-30
7.686323,-1.245712,0.02,-30
7.661795,-1.638744,0.02,-30
6.139879,-1.764248,0.02,-30
4.369634,-1.750925,0.02,-30
2.980305,-1.716551,0.02,-30
1.14362,-1.93132,0.02,-30
1.950567,-2.135164,0.02,-30
-2.387007,-1.882557,0.02,-30
-9.098733,-1.73627,0.02,-30
-4.517431,-1.624622,0.02,-30
-14.40774,-0.8390903,0.02,-30
-6.886981,-0.5140061,0.02,-30
-8.953588,-0.2853813,0.02,-30
-8.447894,-0.2480766,0.02,-30
-10.10354,-0.2142358,0.02,-30
-8.492567,-0.187856,0.02,-30
-9.956939,-0.1452221,0.02,-30
-9.447701,-0.166539,0.02,-30
-9.175538,-0.09299541,0.02,-30
-10.01534,-0.08420215,0.02,-30
-8.97263,-0.0746095,0.02,-30
-9.437711,-0.06421746,0.02,-30
-9.503911,-0.07061256,0.02,-30
-9.594534,-0.07407656,0.02,-30
-9.186294,-0.07007963,0.02,-30
-9.402266,-0.06901378,0.02,-30
-9.337733,-0.07194487,0.02,-30
-9.357203,-0.0724778,0.02,-30
-9.386033,-0.0724778,0.02,-30
-9.418933,-0.07194487,0.02,-30
-9.33398,-0.07034609,0.02,-30
-9.462325,-0.07487596,0.02,-30
-9.387881,-0.07114548,0.02,-30
-9.338563,-0.07301072,0.02,-30
-9.313602,-0.0724778,0.02,-30
-9.235461,-0.07301072,0.02,-30
-9.293311,-0.07221133,0.02,-30
-9.421045,-0.07301072,0.02,-30
-9.501613,-0.07221133,0.02,-30
-9.313602,-0.07194487,0.02,-30
-9.373422,-0.07007963,0.02,-30
-9.321743,-0.07167841,0.02,-30
-9.210695,-0.07167841,0.02,-30
-9.501508,-0.07141194,0.02,-30
-9.318055,-0.07194487,0.02,-30
-9.451973,-0.07194487,0.02,-30
-9.321365,-0.07167841,0.02,30
-10.66786,-0.02957734,0.02,30
-12.28384,0.9158315,0.02,30
-9.818797,1.073311,0.02,30
-5.797683,1.33098,0.02,30
-5.228891,1.490591,0.02,30
-6.420784,1.608368,0.02,30
1.296784,1.716551,0.02,30
-1.076862,1.741865,0.02,30
3.528953,1.741332,0.02,30
5.481649,1.687773,0.02,30
5.560632,1.637678,0.02,30
6.935788,1.423176,0.02,30
10.559,1.080505,0.02,30
9.856306,0.3021685,0.02,30
8.272558,-0.04210107,0.02,30
12.108,0.04449923,0.02,30
9.019517,0.04449923,0.02,30
10.09666,-0.03570597,0.02,30
9.571116,-0.02398162,0.02,30
9.598996,-0.02637979,0.02,30
10.21095,-0.06874732,0.02,30
9.776468,-0.08047167,0.02,30
9.921338,-0.07647473,0.02,30
9.668581,-0.07620827,0.02,30
9.89421,-0.06794793,0.02,30
9.866347,-0.07221133,0.02,30
9.842146,-0.07327718,0.02,30
9.849785,-0.07407656,0.02,30
9.865275,-0.07087902,0.02,30
9.964474,-0.07167841,0.02,30
9.877102,-0.07061256,0.02,30
9.941975,-0.07194487,0.02,30
9.89421,-0.07114548,0.02,30
9.777304,-0.07221133,0.02,30
9.991365,-0.07087902,0.02,30
9.879255,-0.07141194,0.02,30
9.885158,-0.07087902,0.02,30
10.10873,-0.0724778,0.02,30
9.918519,-0.07274425,0.02,30
10.04216,-0.07301072,0.02,30
9.999969,-0.0724778,0.02,30
9.959115,-0.07087902,0.02,30
9.973145,-0.07301072,0.02,30
9.896517,-0.07141194,0.02,30
9.978862,-0.07381011,0.02,30
9.960628,-0.07301072,0.02,30
10.03778,-0.07301072,0.02,30
9.685169,-0.07167841,0.02,30
9.90556,-0.07167841,0.02,30
9.879255,-0.07167841,0.02,30
9.813121,-0.0724778,0.02,-30
9.843276,-0.07167841,0.02,-30
11.02134,-0.1433568,0.02,-30
9.04676,-0.7135866,0.02,-30
10.4243,-1.411985,0.02,-30
6.964388,-1.700297,0.02,-30
5.069223,-1.787164,0.02,-30
5.197764,-1.732805,0.02,-30
2.801307,-1.803951,0.02,-30
-0.1843573,-1.960897,0.02,-30
-0.9458635,-2.042701,0.02,-30
-2.924712,-1.912401,0.02,-30
-5.23862,-1.599841,0.02,-30
-9.687078,-1.539087,0.02,-30
-10.42769,-0.6235222,0.02,-30
-11.25695,-0.5105422,0.02,-30
-8.67231,-0.2515406,0.02,-30
-9.049628,-0.2608668,0.02,-30
-8.437499,-0.1745329,0.02,-30
-9.664908,-0.1737335,0.02,-30
-9.740959,-0.1753323,0.02,-30
-9.42099,-0.1060521,0.02,-30
-9.454041,-0.08526799,0.02,-30
-9.578737,-0.08127105,0.02,-30
-9.305684,-0.07381011,0.02,-30
-9.371737,-0.07327718,0.02,-30
-9.081835,-0.07034609,0.02,-30
-9.576025,-0.07434303,0.02,-30
-9.358967,-0.07167841,0.02,-30
-9.520026,-0.07381011,0.02,-30
-9.346405,-0.07221133,0.02,-30
-9.350496,-0.07221133,0.02,-30
-9.394403,-0.07327718,0.02,-30
-9.350795,-0.07327718,0.02,-30
-9.468499,-0.07167841,0.02,-30
-9.356923,-0.07221133,0.02,-30
-9.394222,-0.07141194,0.02,-30
-9.417118,-0.07141194,0.02,-30
-9.542669,-0.07114548,0.02,-30
-9.427214,-0.07167841,0.02,-30
-9.47885,-0.07087902,0.02,-30
-9.313403,-0.07167841,0.02,-30
-9.373422,-0.07061256,0.02,-30
-9.369327,-0.07327718,0.02,-30
-9.353418,-0.07167841,0.02,-30
-9.567945,-0.07167841,0.02,-30
-9.301417,-0.0724778,0.02,-30
-9.237475,-0.07274425,0.02,-30
-9.404479,-0.0724778,0.02,-30
-9.311369,-0.07274425,0.02,30
-9.359105,-0.07327718,0.02,30
-13.97124,0.1145789,0.02,30
-6.369198,0.9859111,0.02,30
-9.94553,1.146855,0.02,30
-7.245189,1.395464,0.02,30
-7.076657,1.528429,0.02,30
-4.58645,1.723746,0.02,30
0.6285563,1.686974,0.02,30
1.999505,1.779969,0.02,30
1.183372,1.751458,0.02,30
6.497133,1.686707,0.02,30
7.145651,1.565201,0.02,30
9.114119,1.380542,0.02,30
10.07086,0.7996539,0.02,30
9.944801,0.1540153,0.02,30
9.263368,0.05515773,0.02,30
10.14947,0.06928024,0.02,30
