Tiempo,ControlPWM,ReferenciaPosicion,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado
0,-121.3004,-5,0.3309082,-0.002683654,0.1519171,-1.42043,-0.7933693,-0.435782
0.02,-68.44296,-5,0.6380203,-0.02473362,0.04504682,-15.62557,-0.7933693,-0.6105556
0.04,-54.01575,-5,0.931103,-0.117308,-0.0007547362,-20.66259,-0.7933693,-0.6753281
0.06,-124.2336,-5,1.109118,-0.2405405,-6.275566,-23.31329,-1.19825,-0.9457237
0.08,-74.97266,-5,0.8474555,-0.4782132,-29.55802,-31.26604,-1.13077,-1.084059
0.1,-55.86529,-5,0.07598537,-0.9241354,-56.39772,-28.97179,-1.19825,-1.287346
0.12,4.40052,-5,-1.099393,-1.46425,-76.29086,-21.51397,-1.13077,-1.443547
0.14,64.56776,-5,-2.407202,-1.980975,-75.84811,-5.998926,-1.06329,-1.547611
0.16,19.31778,-5,-2.78547,-2.155044,-12.1229,11.5442,-1.46817,-1.75671
0.18,-8.80069,-5,-2.434387,-1.952771,15.99925,17.36614,-1.805569,-1.906456
0.2,178.3696,-5,-1.531066,-1.362597,35.14429,15.80857,-0.7933693,-1.205188
0.22,83.23947,-5,-0.8250967,-0.6650685,21.4649,31.35883,-0.7933693,-0.8137038
0.24,46.25781,-5,-0.6989957,-0.03895623,-3.71068,31.65596,-0.7933693,-0.6750072
0.26,-13.8419,-5,-0.1700877,0.4562383,28.83895,26.29802,-1.06329,-0.766349
0.28,-25.35031,-5,0.8613068,0.9302716,37.80078,13.22276,-1.13077,-0.7773746
0.3,-36.21326,-5,1.21748,1.120118,10.02978,2.204569,-1.19825,-0.8614273
0.32,-2.477997,-5,1.258121,1.093913,-6.947322,-6.273451,-1.06329,-0.8796868
0.34,48.75153,-5,0.9672409,0.9260572,-22.71832,-7.409212,-0.7933693,-0.800449
0.36,46.53244,-5,0.372397,0.6744484,-35.63435,-0.9956467,-0.7933693,-0.8462996
0.38,61.52612,-5,-0.156191,0.4647566,-24.84046,4.810171,-0.7933693,-0.9102135
0.4,60.48117,-5,0.1966688,0.5362945,9.693905,8.990199,-0.7933693,-0.85562
