Tiempo,ControlPWM,ReferenciaPosicion,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
0,68.41053,-5,-0.3111686,-0.05948717,0.1519171,1.138578,0.2188301,0.09230959,-0.1910315,0
0.02,64.92709,-5,-0.6101902,-0.1001182,-0.3060985,9.844049,0.2188301,0.1126275,0.1305217,7880
0.04,26.51053,-5,-0.8700732,-0.09295598,0.6251997,16.07014,-0.05108929,-0.04770201,0.4759839,8008
0.06,47.27133,-5,-1.010135,-0.05395567,15.29696,16.82423,-0.1185694,-0.1530417,1.370448,8028
0.08,-12.99831,-5,-0.0389597,0.2468617,56.35041,16.07156,-0.4559698,-0.2552631,4.077879,8036
0.1,171.6588,-5,0.8976324,0.7727049,65.0527,6.760406,0.6237106,0.4394778,7.328338,8056
0.12,-182.0967,-5,1.873942,1.202447,59.63285,15.40984,-0.7933693,-0.04557788,5.293506,7984
0.14,54.14273,-5,2.260027,1.54051,53.77026,-15.5375,0.2188301,0.2894178,3.735343,8068
0.16,-25.88466,-5,3.613531,1.849685,67.92294,-16.75199,0.2188301,0.5164882,3.084572,8004
0.18,-75.09842,-5,3.689569,1.942799,9.87711,-26.01478,0.15135,0.472543,-1.762712,8008
0.2,10.23486,-5,2.972426,1.656456,-32.38244,-34.59827,0.5562305,0.5060883,-7.028721,8020
0.22,19.50732,-5,1.908958,1.113356,-33.77176,-28.1057,0.5562305,0.3586231,-11.17965,8004
0.24,29.84756,-5,1.793444,0.8406536,-1.787015,-22.51654,0.5562305,0.3182917,-10.93503,8000
0.26,34.53998,-5,1.615864,0.7118293,3.678636,-17.18008,0.5562305,0.3070684,-10.88335,7996
0.28,-25.95734,-5,1.750164,0.7146439,12.38093,-13.74693,0.2188301,0.1344667,-10.75463,7996
0.3,7.686523,-5,1.90287,0.7777762,13.83131,-18.05248,0.2863102,0.1153892,-10.58765,8032
0.32,9.7211,-5,2.029387,0.8235898,10.07558,-17.90352,0.2863102,0.1114802,-10.74926,8024
0.34,17.56372,-5,1.814964,0.8017416,-2.550374,-16.85463,0.2863102,0.07097057,-11.586,8036
0.36,25.00009,-5,1.803333,0.8141208,0.2587874,-15.30465,0.2863102,0.05295961,-11.46172,8012
0.38,34.91187,-5,1.615881,0.8072779,-1.588542,-12.86349,0.2863102,0.02376282,-11.62335,8012
0.4,44.27847,-5,1.533725,0.8347528,-1.115259,-9.932663,0.2863102,0.01037066,-11.1712,8016
0.42,51.06018,-5,1.520329,0.9105032,2.640467,-6.960568,0.2863102,0.01385756,-10.44264,8032
0.44,55.62827,-5,1.554133,1.028508,6.701538,-4.378455,0.2863102,0.02714306,-9.638079,8032
0.46,46.1142,-5,1.671661,1.180745,9.678638,-2.584888,0.2188301,0.00973431,-8.901607,8008
0.48,51.31219,-5,1.848619,1.356115,10.09085,-2.911067,0.2188301,0.01931283,-8.217711,8036
0.5,64.349,-5,2.016942,1.530751,10.83894,-3.102442,0.2863102,0.07351027,-7.687861,8020
0.52,62.00446,-5,2.067168,1.670116,7.28169,-2.045043,0.2863102,0.08890903,-7.638032,8020
0.54,39.51007,-5,2.182075,1.79543,8.991614,-1.987191,0.15135,0.01647179,-7.696168,8016
0.56,75.43463,-5,2.273774,1.908226,6.869477,-4.444182,0.2863102,0.06250858,-7.531138,8016
0.58,71.07324,-5,2.368348,2.005182,6.014514,-2.729846,0.2863102,0.08282855,-7.469439,8024
0.6,49.98315,-5,2.3344,2.068474,2.732071,-1.946214,0.15135,-0.004929055,-7.947466,8024
0.62,-100.9059,-5,2.524669,2.053683,10.671,-4.523967,-0.7933693,-0.597077,-9.638636,8040
0.64,-19.21777,-5,2.577931,1.920714,4.945812,-21.60385,-0.7933693,-0.8714312,-11.00299,8084
0.66,250.6064,-5,2.426205,1.783615,-6.031292,-23.59769,0.5562305,-0.2037853,-9.57102,8088
0.68,170.5911,-5,1.817314,1.703895,-36.67252,4.379261,0.5562305,0.04470272,-9.237058,7992
0.7,157.1989,-5,1.116396,1.804508,-23.90916,17.18036,0.5562305,0.1047457,-8.301633,7992
0.72,144.1384,-5,1.757211,2.240438,43.48018,22.19729,0.5562305,0.2487182,-4.336284,7988
0.74,52.90448,-5,2.491359,2.74794,48.1214,21.63451,0.15135,0.1507677,-2.747814,7996
0.76,81.36926,-5,3.41186,3.27038,45.15956,9.045695,0.2863102,0.2531218,-1.624166,8012
0.78,52.55701,-5,3.966133,3.586248,27.14429,1.728304,0.2188301,0.2505467,-2.880194,7992
0.8,132.2556,-5,3.730755,3.635766,-9.77175,-5.066424,0.6237106,0.3896203,-5.17089,8012
0.82,-57.56824,-5,3.585323,3.468831,-7.267933,-1.400167,-0.3884897,-0.2086567,-8.604576,8004
0.84,97.25378,-5,3.317463,3.252076,-14.48931,-17.07506,0.0163908,-0.2792836,-9.95542,8044
0.86,-97.46088,-5,3.427563,2.91391,6.487797,-12.58978,-1.13077,-0.9767142,-12.3628,8060
0.88,225.9551,-5,3.283847,2.74359,-20.06183,-28.29279,0.2188301,-0.4824561,-11.22502,8104
0.9,0.6008301,-5,2.442963,2.309553,-38.61145,-3.545188,-0.7933693,-0.9569207,-14.2465,8012
0.92,128.0787,-5,2.068153,2.167038,-21.60382,-8.53446,-0.4559698,-0.9578032,-12.9326,8100
0.94,120.8027,-5,1.993362,2.095955,11.89238,1.327816,-0.5234499,-0.9619422,-11.40618,8080
0.96,187.3528,-5,2.298038,2.33396,6.900011,6.276218,-0.1185694,-0.640341,-8.054966,8064
0.98,158.6621,-5,2.076806,2.554914,-2.000756,17.06676,-0.1185694,-0.5184058,-7.147626,8048
1,134.428,-5,2.817255,3.044212,33.57178,18.84951,-0.1185694,-0.3637441,-4.095148,8040
