Tiempo,Control,Plataforma
0,0,-0.07088649
0.02,0,-0.148772
0.04,0,-0.213664
0.06,0,-0.2830234
0.08,0,-0.3399342
0.1,0,-0.3820689
0.12,0,-0.4203522
0.14,0,-0.4700093
0.16,0,-0.5009152
0.18,0,-0.5382119
0.2,0,-0.581645
0.22,0,-0.6127185
0.24,0,-0.6433522
0.26,0,-0.6758908
0.28,0,-0.7021007
0.3,0,-0.7324536
0.32,0,-0.7489316
0.34,0,-0.7763019
0.36,0,-0.7922908
0.38,0,-0.801318
0.4,0,-0.8129179
0.42,0,-0.8301297
0.44,0,-0.8446437
0.46,0,-0.8605434
0.48,0,-0.871198
0.5,0,-0.8848982
0.52,0,-0.8935061
0.54,0,-0.9050326
0.56,0,-0.9143243
0.58,0,-0.920041
0.6,0,-0.9227501
0.62,0,-0.9334317
0.64,0,-0.9287651
0.66,0,-0.9326122
0.68,0,-0.939108
0.7,0,-0.9486471
0.72,0,-0.9531172
0.74,0,-0.9619598
0.76,0,-0.9719126
0.78,0,-0.9770612
0.8,0,-0.973474
0.82,0,-0.9849805
0.84,0,-0.974023
0.86,0,-0.9706213
0.88,0,-0.9811772
0.9,0,-0.9848275
0.92,0,-0.9961502
0.94,0,-1.002574
0.96,0,-1.002412
0.98,0,-1.015124
1,0,-1.014671
1.02,0,-1.009867
1.04,0,-1.017036
1.06,0,-1.021407
1.08,0,-1.024308
1.1,0,-1.018482
1.12,0,-1.018671
1.14,0,-1.024655
1.16,0,-1.011871
1.18,0,-0.9987364
1.2,0,-0.9965109
1.22,0,-0.9973561
1.24,0,-0.9967003
1.26,0,-0.9887768
1.28,0,-0.9928026
1.3,0,-0.9944777
1.32,0,-0.9925585
1.34,0,-0.9989787
1.36,0,-0.9967577
1.38,0,-0.9943854
1.4,0,-0.9906767
1.42,0,-0.99015
1.44,0,-0.9981797
1.46,0,-1.006833
1.48,0,-1.003224
1.5,0,-1.005643
1.52,0,-1.016335
1.54,0,-1.023982
1.56,0,-1.029954
1.58,0,-1.017959
1.6,0,-1.021025
1.62,0,-1.014665
1.64,0,-1.021829
1.66,0,-1.008981
1.68,0,-1.012426
1.7,0,-1.013916
1.72,0,-1.022546
1.74,0,-1.023585
1.76,0,-1.030474
1.78,0,-1.023435
1.8,0,-1.011645
1.82,0,-1.008507
1.84,0,-1.009397
1.86,0,-1.007917
1.88,0,-1.005959
1.9,0,-1.003474
1.92,0,-1.01694
1.94,0,-1.002027
1.96,0,-0.9965984
1.98,0,-0.9949853
2,0,-1.002322
2.02,10,-1.012405
2.04,10,-1.016242
2.06,10,-1.022965
2.08,10,-0.5054109
2.1,10,0.3962274
2.12,10,1.084912
2.14,10,1.628682
2.16,10,1.960739
2.18,10,1.970612
2.2,10,1.83974
2.22,10,1.756773
2.24,10,1.720747
2.26,10,1.756639
2.28,10,1.825032
2.3,10,1.834745
2.32,10,1.805128
2.34,10,1.821416
2.36,10,1.885032
2.38,10,1.932288
2.4,10,1.964785
2.42,10,2.004857
2.44,10,2.050225
2.46,10,2.100481
2.48,10,2.150522
2.5,10,2.218154
2.52,10,2.243179
2.54,10,2.247836
2.56,10,2.231342
2.58,10,2.217859
2.6,10,2.208548
2.62,10,2.222474
2.64,10,2.217025
2.66,10,2.206431
2.68,10,2.189426
2.7,10,2.173528
2.72,10,2.17852
2.74,10,2.180641
2.76,10,2.183871
2.78,10,2.165587
2.8,10,2.159519
2.82,10,2.156381
2.84,10,2.174894
2.86,10,2.179657
2.88,10,2.169522
2.9,10,2.152626
2.92,10,2.140265
2.94,10,2.134669
2.96,10,2.162522
2.98,10,2.167983
3,10,2.165762
3.02,10,2.145234
3.04,10,2.146045
3.06,10,2.154148
3.08,10,2.173007
3.1,10,2.156928
3.12,10,2.143352
3.14,10,2.140215
3.16,10,2.150471
3.18,10,2.14738
3.2,10,2.152794
3.22,10,2.143501
3.24,10,2.133693
3.26,10,2.12894
3.28,10,2.132453
3.3,10,2.14104
3.32,10,2.154502
3.34,10,2.145716
3.36,10,2.129522
3.38,10,2.132971
3.4,10,2.149407
3.42,10,2.142259
3.44,10,2.136962
3.46,10,2.137221
3.48,10,2.147243
3.5,10,2.143497
3.52,10,2.146429
3.54,10,2.163907
3.56,10,2.154424
3.58,10,2.142051
3.6,10,2.135735
3.62,10,2.145349
3.64,10,2.145157
3.66,10,2.132817
3.68,10,2.130345
3.7,10,2.130066
3.72,10,2.133041
3.74,10,2.133815
3.76,10,2.122343
3.78,10,2.150695
3.8,10,2.162102
3.82,10,2.131521
3.84,10,2.120839
3.86,10,2.129853
3.88,10,2.13777
3.9,10,2.129195
3.92,10,2.135591
3.94,10,2.136874
3.96,10,2.148287
3.98,10,2.147113
4,10,2.157914
4.02,20,2.159407
4.04,20,2.143798
4.06,20,2.299645
4.08,20,3.203843
4.1,20,4.033897
4.12,20,4.652796
4.14,20,4.862768
4.16,20,4.809808
4.18,20,4.800864
4.2,20,4.856779
4.22,20,5.048866
4.24,20,5.19233
4.26,20,5.312247
4.28,20,5.34727
4.3,20,5.375967
4.32,20,5.384305
4.34,20,5.380229
4.36,20,5.368892
4.38,20,5.351268
4.4,20,5.332503
4.42,20,5.315982
4.44,20,5.299262
4.46,20,5.293201
4.48,20,5.292169
4.5,20,5.282803
4.52,20,5.312755
4.54,20,5.299081
4.56,20,5.288427
4.58,20,5.28436
4.6,20,5.274899
4.62,20,5.272708
4.64,20,5.250292
4.66,20,5.240565
4.68,20,5.235122
4.7,20,5.232618
4.72,20,5.228189
4.74,20,5.233855
4.76,20,5.227499
4.78,20,5.225543
4.8,20,5.224215
4.82,20,5.230634
4.84,20,5.228291
4.86,20,5.219494
4.88,20,5.216005
4.9,20,5.217582
4.92,20,5.219537
4.94,20,5.232014
4.96,20,5.23211
4.98,20,5.236733
5,20,5.231521
5.02,20,5.229701
5.04,20,5.227151
5.06,20,5.232699
5.08,20,5.239451
5.1,20,5.229122
5.12,20,5.22978
5.14,20,5.235546
5.16,20,5.227914
5.18,20,5.208809
5.2,20,5.192036
5.22,20,5.191104
5.24,20,5.193656
5.26,20,5.207933
5.28,20,5.218802
5.3,20,5.213336
5.32,20,5.218287
5.34,20,5.207712
5.36,20,5.196974
5.38,20,5.196492
5.4,20,5.194091
5.42,20,5.196913
5.44,20,5.203879
5.46,20,5.207854
5.48,20,5.21696
5.5,20,5.221689
5.52,20,5.222685
5.54,20,5.212888
5.56,20,5.20356
5.58,20,5.199931
5.6,20,5.181008
5.62,20,5.184244
5.64,20,5.19135
5.66,20,5.206307
5.68,20,5.212937
5.7,20,5.218507
