Tiempo,Control,Plataforma
0,0,-0.09215592
0.02,0,-0.1808406
0.04,0,-0.2819464
0.06,0,-0.3661745
0.08,0,-0.4347864
0.1,0,-0.4882172
0.12,0,-0.5369226
0.14,0,-0.5757815
0.16,0,-0.6277945
0.18,0,-0.6682369
0.2,0,-0.7171639
0.22,0,-0.7618015
0.24,0,-0.813521
0.26,0,-0.8564565
0.28,0,-0.8881959
0.3,0,-0.9109197
0.32,0,-0.9276922
0.34,0,-0.950957
0.36,0,-0.9652147
0.38,0,-0.9843631
0.4,0,-1.013299
0.42,0,-1.037849
0.44,0,-1.060957
0.46,0,-1.081852
0.48,0,-1.107043
0.5,0,-1.123723
0.52,0,-1.135544
0.54,0,-1.125218
0.56,0,-1.129052
0.58,0,-1.19624
0.6,0,-1.163215
0.62,0,-1.182949
0.64,0,-1.179428
0.66,0,-1.179852
0.68,0,-1.191057
0.7,0,-1.198721
0.72,0,-1.200628
0.74,0,-1.203864
0.76,0,-1.202741
0.78,0,-1.223908
0.8,0,-1.226331
0.82,0,-1.231357
0.84,0,-1.22805
0.86,0,-1.227916
0.88,0,-1.221599
0.9,0,-1.204097
0.92,0,-1.194185
0.94,0,-1.217758
0.96,0,-1.224546
0.98,0,-1.236884
1,0,-1.253307
1.02,0,-1.264806
1.04,0,-1.259784
1.06,0,-1.225473
1.08,0,-1.235746
1.1,0,-1.225089
1.12,0,-1.235643
1.14,0,-1.234315
1.16,0,-1.241063
1.18,0,-1.262505
1.2,0,-1.272266
1.22,0,-1.264089
1.24,0,-1.261868
1.26,0,-1.247402
1.28,0,-1.219498
1.3,0,-1.195702
1.32,0,-1.202448
1.34,0,-1.252067
1.36,0,-1.287485
1.38,0,-1.30456
1.4,0,-1.28185
1.42,0,-1.294814
1.44,0,-1.277416
1.46,0,-1.273859
1.48,0,-1.258805
1.5,0,-1.255851
1.52,0,-1.256404
1.54,0,-1.303288
1.56,0,-1.301774
1.58,0,-1.272496
1.6,0,-1.239404
1.62,0,-1.281073
1.64,0,-1.271106
1.66,0,-1.256645
1.68,0,-1.238987
1.7,0,-1.281383
1.72,0,-1.272008
1.74,0,-1.254099
1.76,0,-1.237915
1.78,0,-1.263161
1.8,0,-1.277553
1.82,0,-1.27099
1.84,0,-1.286471
1.86,0,-1.304826
1.88,0,-1.31989
1.9,0,-1.29676
1.92,0,-1.284697
1.94,0,-1.270643
1.96,0,-1.255704
1.98,0,-1.240684
2,0,-1.26826
2.02,10,-1.317746
2.04,10,-1.325333
2.06,10,-1.290887
2.08,10,-0.6390872
2.1,10,0.05362789
2.12,10,0.6176704
2.14,10,1.121309
2.16,10,1.42949
2.18,10,1.685791
2.2,10,1.675473
2.22,10,1.752453
2.24,10,1.70199
2.26,10,1.750501
2.28,10,1.72879
2.3,10,1.792389
2.32,10,1.799101
2.34,10,1.783284
2.36,10,1.780721
2.38,10,1.788146
2.4,10,1.799087
2.42,10,1.771241
2.44,10,1.752973
2.46,10,1.766622
2.48,10,1.773635
2.5,10,1.769673
2.52,10,1.770132
2.54,10,1.770601
2.56,10,1.757375
2.58,10,1.735408
2.6,10,1.72816
2.62,10,1.736566
2.64,10,1.733112
2.66,10,1.722954
2.68,10,1.71391
2.7,10,1.71552
2.72,10,1.718905
2.74,10,1.702562
2.76,10,1.68877
2.78,10,1.699366
2.8,10,1.701564
2.82,10,1.693653
2.84,10,1.692115
2.86,10,1.709202
2.88,10,1.71744
2.9,10,1.709804
2.92,10,1.698868
2.94,10,1.69858
2.96,10,1.697298
2.98,10,1.697225
3,10,1.688091
3.02,10,1.685523
3.04,10,1.692101
3.06,10,1.689364
3.08,10,1.685246
3.1,10,1.690693
3.12,10,1.689292
3.14,10,1.679996
3.16,10,1.672987
3.18,10,1.679498
3.2,10,1.69057
3.22,10,1.692773
3.24,10,1.701521
3.26,10,1.701703
3.28,10,1.699451
3.3,10,1.69647
3.32,10,1.696908
3.34,10,1.683609
3.36,10,1.677846
3.38,10,1.682282
3.4,10,1.68348
3.42,10,1.67962
3.44,10,1.680894
3.46,10,1.694386
3.48,10,1.683617
3.5,10,1.673312
3.52,10,1.672962
3.54,10,1.670509
3.56,10,1.665696
3.58,10,1.652343
3.6,10,1.642213
3.62,10,1.644259
3.64,10,1.659466
3.66,10,1.654137
3.68,10,1.652367
3.7,10,1.6515
3.72,10,1.653983
3.74,10,1.65292
3.76,10,1.654225
3.78,10,1.658315
3.8,10,1.653714
3.82,10,1.654964
3.84,10,1.677092
3.86,10,1.695394
3.88,10,1.667675
3.9,10,1.630337
3.92,10,1.627022
3.94,10,1.645383
3.96,10,1.669484
3.98,10,1.671914
4,10,1.667358
4.02,20,1.662778
4.04,20,1.663583
4.06,20,1.990225
4.08,20,2.867285
4.1,20,3.383661
4.12,20,3.958558
4.14,20,4.324589
4.16,20,4.618166
4.18,20,4.851196
4.2,20,4.957402
4.22,20,5.019497
4.24,20,5.019987
4.26,20,5.014977
4.28,20,4.985262
4.3,20,4.940206
4.32,20,4.951496
4.34,20,4.94517
4.36,20,4.957482
4.38,20,4.956805
4.4,20,4.93682
4.42,20,4.920057
4.44,20,4.916995
4.46,20,4.908257
4.48,20,4.90824
4.5,20,4.898727
4.52,20,4.886964
4.54,20,4.890212
4.56,20,4.88756
4.58,20,4.892251
4.6,20,4.882778
4.62,20,4.852794
4.64,20,4.832511
4.66,20,4.831388
4.68,20,4.85318
4.7,20,4.871156
4.72,20,4.864636
4.74,20,4.847771
4.76,20,4.826035
4.78,20,4.815812
4.8,20,4.804435
4.82,20,4.800183
4.84,20,4.791765
4.86,20,4.791524
4.88,20,4.801948
4.9,20,4.818814
4.92,20,4.819739
4.94,20,4.806344
4.96,20,4.797764
4.98,20,4.798316
5,20,4.818832
5.02,20,4.828362
5.04,20,4.830704
5.06,20,4.821226
5.08,20,4.815328
5.1,20,4.809283
5.12,20,4.806608
5.14,20,4.807723
5.16,20,4.791224
5.18,20,4.774601
5.2,20,4.775515
5.22,20,4.786774
5.24,20,4.799329
5.26,20,4.800296
5.28,20,4.809667
5.3,20,4.817726
5.32,20,4.807117
5.34,20,4.78176
5.36,20,4.772924
5.38,20,4.779218
5.4,20,4.78067
5.42,20,4.780125
5.44,20,4.787367
5.46,20,4.788866
5.48,20,4.789971
5.5,20,4.782483
5.52,20,4.786429
5.54,20,4.793335
5.56,20,4.790213
5.58,20,4.786732
5.6,20,4.795729
5.62,20,4.807785
5.64,20,4.817492
5.66,20,4.818648
5.68,20,4.822036
5.7,20,4.809987
5.72,20,4.802627
5.74,20,4.800988
5.76,20,4.807768
5.78,20,4.80508
5.8,20,4.816161
5.82,20,4.824296
5.84,20,4.833919
5.86,20,4.823417
5.88,20,4.838612
5.9,20,4.814241
5.92,20,4.791609
5.94,20,4.78097
5.96,20,4.773339
