Tiempo,TiempoMedido,DistanciaMedida
0,951,-0.3333693
0.02,951,-0.3333693
0.04,951,-0.3333693
0.06,951,-0.3333693
0.08,951,-0.3333693
0.1,951,-0.3333693
0.12,951,-0.3333693
0.14,951,-0.3333693
0.16,1007,-1.278089
0.18,1011,-1.345569
0.2,1007,-1.278089
0.22,1011,-1.345569
0.24,1011,-1.345569
0.26,1011,-1.345569
0.28,1007,-1.278089
0.3,1011,-1.345569
0.32,1007,-1.278089
0.34,1011,-1.345569
0.36,1003,-1.210608
0.38,951,-0.3333693
0.4,1007,-1.278089
0.42,1011,-1.345569
0.44,951,-0.3333693
0.46,1007,-1.278089
0.48,1011,-1.345569
0.5,1007,-1.278089
0.52,1003,-1.210608
0.54,1003,-1.210608
0.56,1007,-1.278089
0.58,1011,-1.345569
0.6,1007,-1.278089
0.62,1003,-1.210608
0.64,1007,-1.278089
0.66,1007,-1.278089
0.68,951,-0.3333693
0.7,1007,-1.278089
0.72,1011,-1.345569
0.74,1003,-1.210608
0.76,1003,-1.210608
0.78,1007,-1.278089
0.8,1003,-1.210608
0.82,1007,-1.278089
0.84,1007,-1.278089
0.86,1007,-1.278089
0.88,1007,-1.278089
0.9,1003,-1.210608
0.92,1007,-1.278089
0.94,1007,-1.278089
0.96,1007,-1.278089
0.98,1007,-1.278089
1,1007,-1.278089
1.02,1003,-1.210608
1.04,1011,-1.345569
1.06,1011,-1.345569
1.08,1007,-1.278089
1.1,1011,-1.345569
1.12,1011,-1.345569
1.14,1007,-1.278089
1.16,1007,-1.278089
1.18,1011,-1.345569
1.2,1007,-1.278089
1.22,1003,-1.210608
1.24,1011,-1.345569
1.26,1007,-1.278089
1.28,1007,-1.278089
1.3,1011,-1.345569
1.32,1011,-1.345569
1.34,1007,-1.278089
1.36,1011,-1.345569
1.38,1003,-1.210608
1.4,1011,-1.345569
1.42,1011,-1.345569
1.44,1007,-1.278089
1.46,1003,-1.210608
1.48,1007,-1.278089
1.5,1011,-1.345569
1.52,1011,-1.345569
1.54,1007,-1.278089
1.56,1003,-1.210608
1.58,1007,-1.278089
1.6,1011,-1.345569
1.62,1007,-1.278089
1.64,1011,-1.345569
1.66,1003,-1.210608
1.68,1011,-1.345569
1.7,1003,-1.210608
1.72,1011,-1.345569
1.74,1007,-1.278089
1.76,1011,-1.345569
1.78,1003,-1.210608
1.8,1011,-1.345569
1.82,1011,-1.345569
1.84,1007,-1.278089
1.86,1003,-1.210608
1.88,1007,-1.278089
1.9,1007,-1.278089
1.92,1003,-1.210608
1.94,1007,-1.278089
1.96,1007,-1.278089
1.98,1011,-1.345569
2,1007,-1.278089
2.02,1007,-1.278089
2.04,1007,-1.278089
2.06,1007,-1.278089
2.08,1007,-1.278089
2.1,1011,-1.345569
2.12,1007,-1.278089
2.14,1011,-1.345569
2.16,1011,-1.345569
2.18,1011,-1.345569
2.2,1007,-1.278089
2.22,1007,-1.278089
2.24,1007,-1.278089
2.26,1003,-1.210608
2.28,1007,-1.278089
2.3,1011,-1.345569
2.32,1011,-1.345569
2.34,1011,-1.345569
2.36,1011,-1.345569
2.38,1007,-1.278089
2.4,1003,-1.210608
2.42,1007,-1.278089
2.44,1007,-1.278089
2.46,1007,-1.278089
2.48,1011,-1.345569
2.5,1007,-1.278089
2.52,1007,-1.278089
2.54,1011,-1.345569
2.56,1011,-1.345569
2.58,951,-0.3333693
2.6,1011,-1.345569
2.62,1011,-1.345569
2.64,1003,-1.210608
2.66,1007,-1.278089
2.68,1007,-1.278089
2.7,1007,-1.278089
2.72,1007,-1.278089
2.74,1007,-1.278089
2.76,1003,-1.210608
2.78,1011,-1.345569
2.8,1007,-1.278089
2.82,1011,-1.345569
2.84,1007,-1.278089
2.86,1007,-1.278089
2.88,1007,-1.278089
2.9,1007,-1.278089
2.92,1007,-1.278089
2.94,1003,-1.210608
2.96,1011,-1.345569
2.98,1011,-1.345569
3,1007,-1.278089
3.02,1003,-1.210608
3.04,1007,-1.278089
3.06,1007,-1.278089
3.08,1003,-1.210608
3.1,1007,-1.278089
