Tiempo,ControlPWM,Plataforma,Posicion,Error
0,1479,-0.05866805,0.2865496,-0.2865496
0.02,1482,-0.1147845,0.4215097,-0.4215097
0.04,1480,-0.1527601,0.3540297,-0.3540297
0.06,1479,-0.1955398,0.2865496,-0.2865496
0.08,1480,-0.2234447,0.3540297,-0.3540297
0.1,1480,-0.2694052,0.3540297,-0.3540297
0.12,1482,-0.3095569,0.4215097,-0.4215097
0.14,1480,-0.3501009,0.3540297,-0.3540297
0.16,1479,-0.3715803,0.2865496,-0.2865496
0.18,1480,-0.3875356,0.3540297,-0.3540297
0.2,1480,-0.4146936,0.3540297,-0.3540297
0.22,1480,-0.4460916,0.3540297,-0.3540297
0.24,1480,-0.4688761,0.3540297,-0.3540297
0.26,1482,-0.4831589,0.4215097,-0.4215097
0.28,1480,-0.4908337,0.3540297,-0.3540297
0.3,1480,-0.5070761,0.3540297,-0.3540297
0.32,1480,-0.5134655,0.3540297,-0.3540297
0.34,1480,-0.5298797,0.3540297,-0.3540297
0.36,1480,-0.5511931,0.3540297,-0.3540297
0.38,1479,-0.5641156,0.2865496,-0.2865496
0.4,1482,-0.5692906,0.4215097,-0.4215097
0.42,1480,-0.582297,0.3540297,-0.3540297
0.44,1480,-0.5901899,0.3540297,-0.3540297
0.46,1479,-0.603321,0.2865496,-0.2865496
0.48,1479,-0.6118655,0.2865496,-0.2865496
0.5,1480,-0.6224903,0.3540297,-0.3540297
0.52,1480,-0.6332409,0.3540297,-0.3540297
0.54,1480,-0.6286929,0.3540297,-0.3540297
0.56,1482,-0.639339,0.4215097,-0.4215097
0.58,1480,-0.647499,0.3540297,-0.3540297
0.6,1480,-0.6464696,0.3540297,-0.3540297
0.62,1479,-0.6517427,0.2865496,-0.2865496
0.64,1480,-0.657867,0.3540297,-0.3540297
0.66,1480,-0.6638657,0.3540297,-0.3540297
0.68,1480,-0.6790048,0.3540297,-0.3540297
0.7,1479,-0.6800824,0.2865496,-0.2865496
0.72,1482,-0.6838216,0.4215097,-0.4215097
0.74,1482,-0.6817624,0.4215097,-0.4215097
0.76,1482,-0.6916,0.4215097,-0.4215097
0.78,1479,-0.7050364,0.2865496,-0.2865496
0.8,1482,-0.7040151,0.4215097,-0.4215097
0.82,1484,-0.700092,0.4889898,-0.4889898
0.84,1480,-0.6986814,0.3540297,-0.3540297
0.86,1479,-0.70644,0.2865496,-0.2865496
0.88,1480,-0.7092962,0.3540297,-0.3540297
0.9,1480,-0.7163427,0.3540297,-0.3540297
0.92,1480,-0.7197143,0.3540297,-0.3540297
0.94,1480,-0.7245862,0.3540297,-0.3540297
0.96,1480,-0.7215615,0.3540297,-0.3540297
0.98,1480,-0.7271815,0.3540297,-0.3540297
1,1480,-0.7274334,0.3540297,-0.3540297
1.02,1479,-0.7186339,0.2865496,-0.2865496
1.04,1480,-0.7180488,0.3540297,-0.3540297
1.06,1480,-0.7237763,0.3540297,-0.3540297
1.08,1479,-0.7318758,0.2865496,-0.2865496
1.1,1479,-0.7329149,0.2865496,-0.2865496
1.12,1480,-0.7230253,0.3540297,-0.3540297
1.14,1479,-0.7276295,0.2865496,-0.2865496
1.16,1479,-0.7316275,0.2865496,-0.2865496
1.18,1480,-0.7385814,0.3540297,-0.3540297
1.2,1482,-0.7402835,0.4215097,-0.4215097
1.22,1479,-0.7456947,0.2865496,-0.2865496
1.24,1479,-0.7489526,0.2865496,-0.2865496
1.26,1482,-0.7520703,0.4215097,-0.4215097
1.28,1479,-0.7461526,0.2865496,-0.2865496
1.3,1482,-0.7525792,0.4215097,-0.4215097
1.32,1480,-0.7394792,0.3540297,-0.3540297
1.34,1480,-0.7391652,0.3540297,-0.3540297
1.36,1480,-0.75222,0.3540297,-0.3540297
1.38,1479,-0.7492786,0.2865496,-0.2865496
1.4,1479,-0.7558396,0.2865496,-0.2865496
1.42,1480,-0.7502967,0.3540297,-0.3540297
1.44,1480,-0.7479722,0.3540297,-0.3540297
1.46,1482,-0.7549312,0.4215097,-0.4215097
1.48,1479,-0.7552494,0.2865496,-0.2865496
1.5,1482,-0.7546514,0.4215097,-0.4215097
1.52,1482,-0.7698439,0.4215097,-0.4215097
1.54,1480,-0.7596824,0.3540297,-0.3540297
1.56,1479,-0.7555508,0.2865496,-0.2865496
1.58,1482,-0.764317,0.4215097,-0.4215097
1.6,1480,-0.7521596,0.3540297,-0.3540297
1.62,1482,-0.7514995,0.4215097,-0.4215097
1.64,1480,-0.7448378,0.3540297,-0.3540297
1.66,1479,-0.7481937,0.2865496,-0.2865496
