Tiempo,ControlPWM,Plataforma,Posicion,Error,TiempoTranscurrido
0,0,0.018542,-0.3884897,0.3884897,0
0.02,0,0.02623239,-0.4559698,0.4559698,6876
0.04,0,0.02549426,-0.5234499,0.5234499,6908
0.06,0,0.04026387,-0.5234499,0.5234499,6908
0.08,0,0.05450295,-0.4559698,0.4559698,6888
0.1,0,0.07015815,-0.5234499,0.5234499,6904
0.12,0,0.08318117,-0.4559698,0.4559698,6896
0.14,0,0.08690423,-0.4559698,0.4559698,6904
0.16,0,0.09472962,-0.4559698,0.4559698,6908
0.18,0,0.1084049,-0.4559698,0.4559698,6892
0.2,0,0.1071327,-0.4559698,0.4559698,6896
0.22,0,0.1208118,-0.4559698,0.4559698,6896
0.24,0,0.1181273,-0.5234499,0.5234499,6892
0.26,0,0.1264492,-0.4559698,0.4559698,6912
0.28,0,0.1358866,-0.5234499,0.5234499,6900
0.3,0,0.1466685,-0.5234499,0.5234499,6908
0.32,0,0.1425056,-0.5234499,0.5234499,6892
0.34,0,0.1473382,-0.4559698,0.4559698,6904
0.36,0,0.1494901,-0.4559698,0.4559698,6900
0.38,0,0.1573576,-0.4559698,0.4559698,6900
0.4,0,0.1611032,-0.5234499,0.5234499,6892
0.42,0,0.1622973,-0.4559698,0.4559698,6904
0.44,0,0.1665795,-0.5234499,0.5234499,6912
0.46,0,0.1699939,-0.5234499,0.5234499,6908
0.48,0,0.1751803,-0.5234499,0.5234499,6904
0.5,0,0.17186,-0.5234499,0.5234499,6900
0.52,0,0.163827,-0.4559698,0.4559698,6896
0.54,0,0.160427,-0.4559698,0.4559698,6912
0.56,0,0.1731288,-0.4559698,0.4559698,6768
0.58,0,0.1717457,-0.4559698,0.4559698,6884
0.6,0,0.170134,-0.5234499,0.5234499,6904
0.62,0,0.1776345,-0.4559698,0.4559698,6908
0.64,0,0.1764693,-0.5234499,0.5234499,6904
0.66,0,0.18975,-0.5234499,0.5234499,6908
0.68,0,0.1894799,-0.4559698,0.4559698,6880
0.7,0,0.188091,-0.5234499,0.5234499,6912
0.72,0,0.1882254,-0.5234499,0.5234499,6908
0.74,0,0.1880373,-0.4559698,0.4559698,6896
0.76,0,0.1885153,-0.4559698,0.4559698,6912
0.78,0,0.1865991,-0.4559698,0.4559698,6896
0.8,0,0.1877102,-0.3884897,0.3884897,6904
0.82,0,0.1905301,-0.5234499,0.5234499,6892
0.84,0,0.1867407,-0.5234499,0.5234499,6908
0.86,0,0.1998464,-0.3884897,0.3884897,6896
0.88,0,0.1980044,-0.5234499,0.5234499,6896
0.9,0,0.1945505,-0.4559698,0.4559698,6908
0.92,0,0.2018477,-0.3884897,0.3884897,6908
0.94,0,0.2022576,-0.4559698,0.4559698,6892
0.96,0,0.1991061,-0.5234499,0.5234499,6884
0.98,0,0.1977049,-0.5234499,0.5234499,6908
1,0,0.1890326,-0.5234499,0.5234499,6888
1.02,0,0.188025,-0.4559698,0.4559698,6896
1.04,0,0.1867293,-0.4559698,0.4559698,6888
1.06,0,0.1927694,-0.4559698,0.4559698,6900
1.08,0,0.2040108,-0.5234499,0.5234499,6892
1.1,0,0.2021877,-0.4559698,0.4559698,6896
1.12,0,0.21416,-0.4559698,0.4559698,6904
1.14,0,0.2217812,-0.4559698,0.4559698,6880
1.16,0,0.2193318,-0.5234499,0.5234499,6888
1.18,0,0.2135128,-0.3884897,0.3884897,6912
1.2,0,0.2173793,-0.4559698,0.4559698,6924
1.22,0,0.2140639,-0.3884897,0.3884897,6904
1.24,0,0.2231349,-0.5234499,0.5234499,6908
1.26,0,0.2170706,-0.5234499,0.5234499,6896
1.28,0,0.2157919,-0.4559698,0.4559698,6912
1.3,0,0.214311,-0.5234499,0.5234499,6908
1.32,0,0.2114372,-0.4559698,0.4559698,6916
1.34,0,0.208264,-0.3884897,0.3884897,6912
1.36,0,0.2014445,-0.4559698,0.4559698,6920
1.38,0,0.2099559,-0.3884897,0.3884897,6908
1.4,0,0.2300912,-0.5234499,0.5234499,6896
1.42,0,0.2238003,-0.3884897,0.3884897,6900
1.44,0,0.217698,-0.4559698,0.4559698,6912
1.46,0,0.2207479,-0.4559698,0.4559698,6916
1.48,0,0.2183569,-0.5234499,0.5234499,6900
1.5,0,0.2160929,-0.5234499,0.5234499,6896
1.52,0,0.2195219,-0.5234499,0.5234499,6904
1.54,0,0.219203,-0.4559698,0.4559698,6884
1.56,0,0.2168579,-0.3884897,0.3884897,6900
1.58,0,0.2205289,-0.5234499,0.5234499,6916
1.6,0,0.2230844,-0.4559698,0.4559698,6896
1.62,0,0.2170027,-0.4559698,0.4559698,6904
1.64,0,0.2113689,-0.3884897,0.3884897,6904
1.66,0,0.2083874,-0.4559698,0.4559698,6916
1.68,0,0.197221,-0.5234499,0.5234499,6912
1.7,0,0.1950158,-0.4559698,0.4559698,6912
1.72,0,0.200198,-0.4559698,0.4559698,6920
1.74,0,0.1983408,-0.4559698,0.4559698,6884
1.76,0,0.2027483,-0.4559698,0.4559698,6904
1.78,0,0.1939752,-0.5234499,0.5234499,6892
1.8,0,0.1896453,-0.5234499,0.5234499,6916
1.82,0,0.1908943,-0.5234499,0.5234499,6904
1.84,0,0.1835722,-0.4559698,0.4559698,6904
1.86,0,0.1808453,-0.4559698,0.4559698,6908
1.88,0,0.1870528,-0.5234499,0.5234499,6904
1.9,0,0.204492,-0.5234499,0.5234499,6904
1.92,0,0.2026608,-0.3884897,0.3884897,6884
1.94,0,0.2125081,-0.4559698,0.4559698,6912
1.96,0,0.2176202,-0.5234499,0.5234499,6904
1.98,0,0.2239009,-0.3884897,0.3884897,6904
2,-200,0.240141,-0.5234499,0.5234499,6900
2.02,-200,0.2419039,-0.4559698,0.4559698,6896
2.04,-200,0.3669941,-0.4559698,0.4559698,6912
2.06,-200,1.407916,-1.738089,1.738089,6912
2.08,-200,2.433224,-0.7933693,0.7933693,6976
2.1,-200,3.673858,-0.7258892,0.7258892,6924
2.12,-200,4.648023,-0.7933693,0.7933693,6912
2.14,-200,5.533167,-0.5234499,0.5234499,6912
2.16,-200,5.989233,-1.19825,1.19825,6896
2.18,-200,6.298839,-0.7258892,0.7258892,6944
2.2,-200,6.359176,-1.46817,1.46817,6912
2.22,-200,6.410055,-1.13077,1.13077,6956
2.24,-200,6.455621,-1.46817,1.46817,6928
2.26,-200,6.4251,-2.008009,2.008009,6948
2.28,-200,6.478228,-1.46817,1.46817,6988
2.3,-200,6.431239,-1.738089,1.738089,6952
2.32,-200,6.367739,-2.075489,2.075489,6972
2.34,-200,6.394299,-2.412889,2.412889,6988
2.36,-200,6.325714,-2.75029,2.75029,7012
2.38,-200,6.309175,-4.03241,4.03241,7016
2.4,-200,6.296678,-3.08769,3.08769,7100
2.42,-200,6.207049,-4.36981,4.36981,7056
2.44,-200,6.161205,-4.30233,4.30233,7112
2.46,-200,6.163228,-5.71941,5.71941,7124
2.48,-200,6.143964,-5.58445,5.58445,7208
2.5,200,6.190283,-5.65193,5.65193,7212
2.52,200,6.210478,-6.596649,6.596649,7204
2.54,200,6.199868,-6.326729,6.326729,7260
2.56,200,5.946105,-7.541368,7.541368,7252
2.58,200,5.245755,-7.27145,7.27145,7348
2.6,200,4.11387,-8.75601,8.75601,7292
2.62,200,2.631499,-9.363329,9.363329,7396
2.64,200,0.9223299,-10.71293,10.71293,7428
2.66,200,-0.7006555,-10.98285,10.98285,7504
2.68,200,-2.397951,-10.71293,10.71293,7508
2.7,200,-3.927471,-11.18529,11.18529,7504
2.72,200,-5.297819,-12.19749,12.19749,7528
2.74,200,-6.331786,-13.07473,13.07473,7596
2.76,200,-6.938262,-12.53489,12.53489,7640
2.78,200,-6.574311,-14.01945,14.01945,7616
2.8,200,-5.985235,-13.68205,13.68205,7692
2.82,200,-5.376599,-13.34465,13.34465,7688
2.84,200,-5.8083,-13.14221,13.14221,7672
2.86,200,-7.474288,-13.74953,13.74953,7668
2.88,200,-8.056452,-13.61457,13.61457,7684
2.9,200,-7.903594,-13.07473,13.07473,7696
2.92,200,-7.203743,-13.41213,13.41213,7656
2.94,200,-6.33432,-12.80481,12.80481,7660
2.96,200,-6.068881,-13.95197,13.95197,7620
2.98,200,-6.592478,-13.07473,13.07473,7700
3,200,-6.921401,-12.46741,12.46741,7656
3.02,200,-6.907952,-11.92757,11.92757,7616
3.04,200,-6.808196,-13.07473,13.07473,7572
3.06,200,-7.072572,-13.47961,13.47961,7652
3.08,200,-7.251823,-12.19749,12.19749,7680
3.1,200,-7.207596,-11.86009,11.86009,7604
3.12,200,-7.094304,-12.53489,12.53489,7572
3.14,200,-7.08767,-11.05033,11.05033,7620
3.16,200,-7.085084,-10.71293,10.71293,7524
3.18,200,-7.038654,-9.90317,9.90317,7528
3.2,200,-6.989659,-10.44301,10.44301,7464
3.22,200,-6.924058,-10.10561,10.10561,7492
3.24,200,-6.927446,-10.17309,10.17309,7480
3.26,0,-6.946096,-8.081209,8.081209,7480
3.28,0,-6.919908,-8.148689,8.148689,7356
3.3,0,-6.989494,-7.20397,7.20397,7360
3.32,0,-6.790001,-7.27145,7.27145,7316
3.34,0,-6.026392,-7.20397,7.20397,7332
3.36,0,-4.397429,-8.013729,8.013729,7328
3.38,0,-2.875796,-6.596649,6.596649,7344
3.4,0,-1.447482,-6.596649,6.596649,7260
3.42,0,-0.4287869,-5.65193,5.65193,7272
3.44,0,0.2024367,-5.247049,5.247049,7212
3.46,0,0.1944177,-4.977129,4.977129,7192
3.48,0,-0.09731892,-4.639729,4.639729,7196
3.5,0,-0.5522784,-3.96493,3.96493,7160
3.52,0,-0.4681873,-3.695009,3.695009,7128
3.54,0,-0.05131141,-4.30233,4.30233,7108
3.56,0,0.002422854,-3.627529,3.627529,7136
3.58,0,-0.1007568,-3.02021,3.02021,7104
3.6,0,0.06689714,-3.695009,3.695009,7032
3.62,0,0.03161516,-2.68281,2.68281,7104
3.64,0,0.003544775,-3.357609,3.357609,7040
3.66,0,0.03377163,-2.412889,2.412889,7076
3.68,0,0.0343281,-2.68281,2.68281,7016
3.7,0,0.04719649,-1.738089,1.738089,7040
3.72,0,0.09142973,-2.075489,2.075489,6968
3.74,0,0.09704895,-2.075489,2.075489,6988
3.76,0,0.08888385,-2.345409,2.345409,6984
3.78,0,0.07178685,-2.345409,2.345409,7032
3.8,0,0.09664625,-2.345409,2.345409,7016
3.82,0,0.1114924,-2.345409,2.345409,6992
3.84,0,0.1177565,-2.412889,2.412889,7000
3.86,0,0.1255561,-2.345409,2.345409,7020
3.88,0,0.1235403,-3.290129,3.290129,7024
3.9,0,0.1142031,-2.412889,2.412889,7068
3.92,0,0.1103233,-2.075489,2.075489,7020
3.94,0,0.1003178,-2.075489,2.075489,7004
3.96,0,0.08667547,-2.008009,2.008009,6996
3.98,0,0.09916753,-1.940529,1.940529,6992
4,0,0.102338,-2.075489,2.075489,7004
4.02,0,0.1119612,-2.008009,2.008009,7004
4.04,0,0.117322,-2.142969,2.142969,7004
4.06,0,0.1294208,-2.95273,2.95273,7004
4.08,0,0.1275533,-3.02021,3.02021,7044
4.1,0,0.1342478,-3.02021,3.02021,7072
4.12,0,0.1333876,-1.738089,1.738089,7052
4.14,0,0.1444333,-1.670609,1.670609,6976
4.16,0,0.1499701,-1.670609,1.670609,6964
4.18,0,0.1487982,-1.738089,1.738089,6972
4.2,0,0.1510965,-1.738089,1.738089,6980
4.22,0,0.1535613,-1.738089,1.738089,6976
4.24,0,0.1625083,-1.738089,1.738089,6984
4.26,0,0.15511,-1.670609,1.670609,6976
4.28,0,0.1517522,-1.738089,1.738089,6984
4.3,0,0.1526973,-1.738089,1.738089,6848
4.32,0,0.155345,-1.738089,1.738089,6968
4.34,0,0.1639328,-1.805569,1.805569,6976
4.36,0,0.1669235,-1.738089,1.738089,6976
4.38,0,0.1621452,-1.805569,1.805569,6972
4.4,0,0.1612192,-1.805569,1.805569,6980
4.42,0,0.1705656,-1.738089,1.738089,6988
4.44,0,0.1757481,-1.738089,1.738089,6976
4.46,0,0.1644958,-1.738089,1.738089,6964
4.48,0,0.1598909,-1.670609,1.670609,6968
4.5,0,0.1576606,-1.738089,1.738089,6988
4.52,0,0.1602719,-1.738089,1.738089,6984
4.54,0,0.1559849,-1.738089,1.738089,6972
4.56,0,0.16142,-1.805569,1.805569,6848
4.58,0,0.1565533,-1.738089,1.738089,6984
4.6,0,0.1527874,-1.738089,1.738089,6992
4.62,0,0.147582,-1.670609,1.670609,6976
4.64,0,0.1488343,-1.738089,1.738089,6972
4.66,0,0.1497445,-1.738089,1.738089,6988
4.68,0,0.1496957,-1.738089,1.738089,6972
4.7,0,0.1558492,-1.805569,1.805569,6976
4.72,0,0.1553654,-1.805569,1.805569,6976
4.74,0,0.1622097,-1.738089,1.738089,6980
4.76,0,0.1656238,-1.805569,1.805569,6980
4.78,0,0.1741323,-1.738089,1.738089,6980
4.8,0,0.1687376,-1.738089,1.738089,6988
4.82,0,0.1708172,-1.738089,1.738089,6972
4.84,0,0.1707251,-1.738089,1.738089,6976
4.86,0,0.1686435,-1.738089,1.738089,6976
4.88,0,0.1718846,-1.738089,1.738089,6980
4.9,0,0.1687932,-1.805569,1.805569,6980
4.92,0,0.1682825,-1.738089,1.738089,6980
4.94,0,0.1628468,-1.738089,1.738089,6992
4.96,0,0.1583796,-1.738089,1.738089,6968
4.98,0,0.1571043,-1.805569,1.805569,6840
5,0,0.1533031,-1.805569,1.805569,6984
5.02,0,0.1547526,-1.738089,1.738089,6972
5.04,0,0.1645208,-1.738089,1.738089,6980
5.06,0,0.1723847,-1.738089,1.738089,6972
5.08,0,0.1735999,-1.738089,1.738089,6980
5.1,0,0.185256,-1.738089,1.738089,6992
5.12,0,0.1767131,-1.670609,1.670609,6960
5.14,0,0.1695912,-1.738089,1.738089,6992
5.16,0,0.175486,-1.738089,1.738089,6996
5.18,0,0.1684754,-1.738089,1.738089,6992
5.2,0,0.1877766,-1.738089,1.738089,6996
5.22,0,0.1870844,-1.738089,1.738089,6992
5.24,0,0.1730314,-1.805569,1.805569,6988
5.26,0,0.1761701,-1.738089,1.738089,6992
5.28,0,0.177829,-1.805569,1.805569,7008
5.3,0,0.1744241,-1.670609,1.670609,6984
5.32,0,0.175791,-1.805569,1.805569,6992
5.34,0,0.1596323,-1.738089,1.738089,7004
5.36,0,0.165322,-1.738089,1.738089,6976
5.38,0,0.1714354,-1.738089,1.738089,6960
5.4,0,0.1780454,-1.738089,1.738089,6968
5.42,0,0.1655493,-1.738089,1.738089,6968
5.44,0,0.1632024,-1.738089,1.738089,6972
5.46,0,0.1619237,-1.805569,1.805569,6980
5.48,0,0.1691915,-1.738089,1.738089,7000
5.5,0,0.1598928,-1.670609,1.670609,6984
5.52,0,0.1573795,-1.738089,1.738089,6976
5.54,0,0.159408,-1.805569,1.805569,6992
5.56,0,0.1636427,-1.738089,1.738089,6984
5.58,0,0.166391,-1.738089,1.738089,6984
5.6,0,0.1662931,-1.670609,1.670609,6980
5.62,0,0.1657018,-1.805569,1.805569,6996
5.64,0,0.169411,-1.805569,1.805569,6988
5.66,0,0.1679956,-1.738089,1.738089,6972
5.68,0,0.178003,-1.805569,1.805569,6992
5.7,0,0.1654707,-1.738089,1.738089,6968
5.72,0,0.1616717,-1.738089,1.738089,6988
5.74,0,0.1732222,-1.738089,1.738089,6852
5.76,0,0.1866822,-1.738089,1.738089,6968
5.78,0,0.1776116,-1.805569,1.805569,6976
5.8,0,0.183162,-1.805569,1.805569,6988
5.82,0,0.176401,-1.805569,1.805569,6964
5.84,0,0.1765147,-1.738089,1.738089,6968
5.86,0,0.1928348,-1.805569,1.805569,6988
5.88,0,0.1831264,-1.805569,1.805569,6968
5.9,0,0.1605178,-1.738089,1.738089,6972
5.92,0,0.1675053,-1.738089,1.738089,6992
5.94,0,0.1693633,-1.738089,1.738089,6984
5.96,0,0.1658849,-1.738089,1.738089,6984
5.98,0,0.1597235,-1.805569,1.805569,6976
6,0,0.1598258,-1.805569,1.805569,6988
6.02,0,0.1565008,-1.738089,1.738089,6980
6.04,0,0.1556671,-1.738089,1.738089,6992
6.06,0,0.1551907,-1.60313,1.60313,6988
6.08,0,0.15505,-1.805569,1.805569,7000
6.1,0,0.1551506,-1.738089,1.738089,6988
6.12,0,0.164021,-1.805569,1.805569,6988
6.14,0,0.162682,-1.738089,1.738089,6976
6.16,0,0.1704293,-1.738089,1.738089,6992
6.18,0,0.1674191,-1.738089,1.738089,6972
6.2,0,0.1767727,-1.738089,1.738089,6852
6.22,0,0.1810267,-1.805569,1.805569,6980
6.24,0,0.1908678,-1.805569,1.805569,6988
6.26,0,0.1864669,-1.805569,1.805569,6960
6.28,0,0.1829438,-1.738089,1.738089,6980
6.3,0,0.1848835,-1.738089,1.738089,6984
6.32,0,0.1794416,-1.738089,1.738089,6996
6.34,0,0.1843375,-1.738089,1.738089,6840
6.36,0,0.1926026,-1.738089,1.738089,6972
6.38,0,0.1851779,-1.738089,1.738089,6976
6.4,0,0.1852992,-1.805569,1.805569,6996
6.42,0,0.1938099,-1.738089,1.738089,7012
6.44,0,0.1888981,-1.738089,1.738089,6972
6.46,0,0.1869376,-1.805569,1.805569,6980
6.48,0,0.1903929,-1.738089,1.738089,6988
6.5,0,0.215555,-1.738089,1.738089,6980
6.52,0,0.2477846,-1.738089,1.738089,6972
6.54,0,0.2401493,-1.738089,1.738089,6968
6.56,0,0.2452405,-1.670609,1.670609,6980
6.58,0,0.2522019,-1.738089,1.738089,6964
6.6,0,0.2449968,-1.738089,1.738089,6972
6.62,0,0.2519201,-1.738089,1.738089,6984
6.64,0,0.2435152,-1.738089,1.738089,6968
6.66,0,0.2371674,-1.738089,1.738089,6972
6.68,0,0.2426264,-1.738089,1.738089,6988
6.7,0,0.2363364,-1.805569,1.805569,6964
6.72,0,0.2343,-1.805569,1.805569,6984
6.74,0,0.2277712,-1.738089,1.738089,6972
6.76,0,0.2129479,-1.738089,1.738089,6984
6.78,0,0.2217529,-1.805569,1.805569,6976
6.8,0,0.2149574,-1.738089,1.738089,6972
