Tiempo,ControlPWM,Plataforma,Posicion,Error
0,1472,-0.03452938,-42.96837,0
0.02,1472,-0.0666557,-42.96837,0
0.04,1472,-0.1001639,-42.96837,0
0.06,1472,-0.1272892,-42.96837,0
0.08,1472,-0.1570882,-43.03585,0
0.1,1472,-0.1833985,-42.96837,0
0.12,1472,-0.2051161,-42.96837,0
0.14,1472,-0.228549,-42.96837,0
0.16,1472,-0.2450442,-42.96837,0
0.18,1472,-0.2745924,-43.03585,0
0.2,1472,-0.2878396,-42.96837,0
0.22,1472,-0.3037612,-43.03585,0
0.24,1472,-0.3208819,-42.96837,0
0.26,1472,-0.3447619,-42.96837,0
0.28,1472,-0.3614152,-42.49601,0
0.3,1472,-0.3731896,-42.90089,0
0.32,1472,-0.3908376,-42.96837,0
0.34,1472,-0.3997256,-42.90089,0
0.36,1472,-0.4059993,-42.90089,0
0.38,1472,-0.4257945,-42.56349,0
0.4,1472,-0.4330987,-43.03585,0
0.42,1472,-0.4386101,-42.96837,0
0.44,1472,-0.4355345,-42.96837,0
0.46,1472,-0.4424349,-43.03585,0
0.48,1472,-0.442562,-42.96837,0
0.5,1472,-0.436956,-42.96837,0
0.52,1472,-0.4306598,-42.96837,0
0.54,1472,-0.4416896,-42.96837,0
0.56,1472,-0.4423143,-42.90089,0
0.58,1472,-0.4449913,-42.96837,0
0.6,1472,-0.4529995,-42.96837,0
0.62,1472,-0.4639248,-43.03585,0
0.64,1472,-0.4586792,-42.96837,0
0.66,1472,-0.4601978,-42.96837,0
0.68,1472,-0.4624441,-42.96837,0
0.7,1472,-0.4694457,-42.96837,0
0.72,1472,-0.4796819,-42.96837,0
0.74,1472,-0.4844537,-42.90089,0
0.76,1472,-0.4908203,-42.96837,0
0.78,1472,-0.4967488,-42.96837,0
0.8,1472,-0.5023438,-42.96837,0
0.82,1472,-0.5027662,-42.96837,0
0.84,1472,-0.5060246,-42.96837,0
0.86,1472,-0.504845,-42.56349,0
0.88,1472,-0.5019125,-42.96837,0
0.9,1472,-0.4982487,-43.03585,0
0.92,1472,-0.4925407,-43.37325,0
0.94,1472,-0.4865802,-42.96837,0
0.96,1472,-0.4844766,-43.37325,0
0.98,1472,-0.4902094,-42.90089,0
1,1472,-0.4958922,-42.90089,0
1.02,1472,-0.5014961,-42.90089,0
1.04,1472,-0.5057184,-42.96837,0
1.06,1472,-0.5034765,-42.96837,0
1.08,1472,-0.5091395,-42.96837,0
1.1,1472,-0.5044625,-42.96837,0
1.12,1472,-0.5080238,-42.96837,0
1.14,1472,-0.5076398,-42.96837,0
1.16,1472,-0.4997751,-43.03585,0
1.18,1472,-0.5082823,-42.96837,0
1.2,1472,-0.5095639,-42.96837,0
1.22,1472,-0.5060977,-42.90089,0
1.24,1472,-0.5025501,-43.03585,0
1.26,1472,-0.5123918,-42.96837,0
1.28,1472,-0.5084748,-42.96837,0
1.3,1472,-0.5043406,-42.96837,0
1.32,1472,-0.5043095,-43.03585,0
1.34,1472,-0.5067991,-42.96837,0
1.36,1472,-0.517744,-42.90089,0
1.38,1472,-0.5145691,-43.03585,0
1.4,1472,-0.5045789,-43.03585,0
1.42,1472,-0.4966643,-42.96837,0
1.44,1472,-0.4939675,-43.37325,0
1.46,1472,-0.4990925,-43.30577,0
1.48,1472,-0.4983717,-42.96837,0
1.5,1472,-0.4947519,-42.96837,0
1.52,1472,-0.4913898,-42.96837,0
1.54,1472,-0.4969957,-42.90089,0
1.56,1472,-0.4933332,-43.30577,0
1.58,1472,-0.4938937,-42.90089,0
1.6,1472,-0.5018216,-42.90089,0
1.62,1472,-0.5052611,-43.30577,0
1.64,1472,-0.5029727,-43.37325,0
1.66,1472,-0.4982358,-42.96837,0
1.68,1472,-0.4928019,-43.44073,0
1.7,1472,-0.4930571,-42.96837,0
1.72,1472,-0.4949141,-42.96837,0
1.74,1472,-0.493201,-43.37325,0
1.76,1472,-0.504059,-42.96837,0
1.78,1472,-0.5034532,-43.03585,0
1.8,1472,-0.5023518,-42.96837,0
1.82,1472,-0.5011759,-42.90089,0
1.84,1472,-0.5002918,-42.90089,0
1.86,1472,-0.5003977,-42.96837,0
1.88,1472,-0.4940289,-42.49601,0
1.9,1472,-0.5003451,-42.96837,0
1.92,1472,-0.4981741,-42.96837,0
1.94,1472,-0.4972511,-42.90089,0
1.96,1472,-0.4901878,-42.90089,0
1.98,1472,-0.4903702,-42.96837,0
2,1172,-0.4916979,-42.96837,0
2.02,1172,-0.4993059,-42.96837,0
2.04,1172,-0.6178033,-42.96837,0
2.06,1172,-1.256644,-43.50821,0
2.08,1172,-2.516119,-43.98057,0
2.1,1172,-4.112208,-43.17081,0
2.12,1172,-5.832338,-43.71065,0
2.14,1172,-7.335377,-43.30577,0
2.16,1172,-8.683372,-43.50821,0
2.18,1172,-9.890703,-43.91309,0
2.2,1172,-10.44079,-43.57569,0
2.22,1172,-10.63456,-43.91309,0
2.24,1172,-10.69746,-43.10333,0
2.26,1172,-10.65469,-43.50821,0
2.28,1172,-10.66175,-43.44073,0
2.3,1172,-10.66449,-43.17081,0
2.32,1172,-10.65756,-42.69845,0
2.34,1172,-10.69013,-43.50821,0
2.36,1172,-10.67772,-43.50821,0
2.38,1172,-10.67248,-43.03585,0
2.4,1172,-10.61864,-43.10333,0
2.42,1172,-10.58451,-43.50821,0
2.44,1172,-10.56286,-42.63097,0
2.46,1172,-10.51661,-42.69845,0
2.48,1172,-10.49519,-43.10333,0
2.5,1172,-10.46988,-43.10333,0
2.52,1172,-10.44549,-43.03585,0
2.54,1172,-10.42315,-42.76593,0
2.56,1172,-10.40402,-43.10333,0
2.58,1172,-10.3868,-43.50821,0
2.6,1172,-10.36669,-42.69845,0
2.62,1172,-10.3573,-43.50821,0
2.64,1172,-10.33864,-43.10333,0
2.66,1172,-10.32798,-42.69845,0
2.68,1172,-10.30525,-43.10333,0
2.7,1172,-10.29703,-43.10333,0
2.72,1172,-10.29096,-43.03585,0
2.74,1172,-10.27286,-43.10333,0
2.76,1172,-10.25866,-43.03585,0
2.78,1172,-10.2492,-43.10333,0
2.8,1172,-10.23924,-43.10333,0
2.82,1172,-10.23011,-43.10333,0
2.84,1172,-10.21665,-43.10333,0
2.86,1172,-10.21179,-43.03585,0
2.88,1172,-10.21115,-43.10333,0
2.9,1172,-10.19997,-43.10333,0
2.92,1172,-10.19983,-43.50821,0
2.94,1172,-10.19865,-43.03585,0
2.96,1172,-10.19355,-43.10333,0
2.98,1172,-10.1901,-43.10333,0
3,1172,-10.18255,-43.10333,0
3.02,1172,-10.17135,-43.10333,0
3.04,1172,-10.15681,-43.10333,0
3.06,1172,-10.15785,-43.10333,0
3.08,1172,-10.1535,-43.10333,0
3.1,1172,-10.15773,-43.10333,0
3.12,1172,-10.15434,-43.57569,0
3.14,1172,-10.14953,-43.03585,0
3.16,1172,-10.13906,-43.03585,0
3.18,1172,-10.13621,-43.17081,0
3.2,1172,-10.12942,-43.10333,0
3.22,1172,-10.13262,-43.50821,0
3.24,1172,-10.13977,-43.10333,0
3.26,1172,-10.13623,-43.03585,0
3.28,1172,-10.13925,-42.69845,0
3.3,1172,-10.12981,-43.03585,0
3.32,1172,-10.12422,-43.10333,0
3.34,1172,-10.11559,-43.57569,0
3.36,1172,-10.1129,-43.10333,0
3.38,1172,-10.11669,-43.10333,0
3.4,1172,-10.11395,-43.10333,0
3.42,1172,-10.12147,-43.03585,0
3.44,1172,-10.11818,-43.17081,0
3.46,1172,-10.11757,-43.03585,0
3.48,1172,-10.11605,-43.10333,0
3.5,1172,-10.11301,-43.64317,0
3.52,1172,-10.10538,-43.10333,0
3.54,1172,-10.11495,-43.10333,0
3.56,1172,-10.10769,-43.10333,0
3.58,1172,-10.10608,-43.17081,0
3.6,1172,-10.11568,-43.03585,0
3.62,1172,-10.10764,-43.03585,0
3.64,1172,-10.10512,-43.10333,0
3.66,1172,-10.107,-43.10333,0
3.68,1172,-10.10396,-43.17081,0
3.7,1172,-10.10158,-43.10333,0
3.72,1172,-10.10223,-43.10333,0
3.74,1172,-10.1001,-42.69845,0
3.76,1172,-10.10562,-43.10333,0
3.78,1172,-10.09615,-43.10333,0
3.8,1172,-10.09614,-42.69845,0
3.82,1172,-10.10428,-43.10333,0
3.84,1172,-10.1046,-43.03585,0
3.86,1172,-10.10671,-43.03585,0
3.88,1172,-10.10409,-43.03585,0
3.9,1172,-10.10162,-43.10333,0
3.92,1172,-10.10459,-43.10333,0
3.94,1172,-10.09631,-42.69845,0
3.96,1172,-10.10105,-42.63097,0
3.98,1172,-10.10898,-43.10333,0
4,1472,-10.10532,-43.17081,0
4.02,1472,-10.09981,-43.03585,0
4.04,1472,-10.12566,-43.50821,0
4.06,1472,-9.49699,-44.45293,0
4.08,1472,-8.244673,-43.50821,0
4.1,1472,-6.774296,-42.49601,0
4.12,1472,-4.984694,-42.09113,0
4.14,1472,-3.464936,-43.23829,0
4.16,1472,-1.94911,-43.50821,0
4.18,1472,-1.038678,-43.10333,0
4.2,1472,-0.6994792,-42.22609,0
4.22,1472,-0.4415369,-43.10333,0
4.24,1472,-0.3149535,-43.44073,0
4.26,1472,-0.2238989,-43.10333,0
4.28,1472,-0.286888,-43.10333,0
4.3,1472,-0.2336814,-43.57569,0
4.32,1472,-0.2898486,-43.84561,0
4.34,1472,-0.3252535,-43.10333,0
4.36,1472,-0.3889289,-43.10333,0
4.38,1472,-0.3755583,-43.03585,0
4.4,1472,-0.3911714,-43.03585,0
4.42,1472,-0.4306769,-43.50821,0
4.44,1472,-0.4678568,-43.10333,0
4.46,1472,-0.4935017,-43.77813,0
4.48,1472,-0.5304033,-43.10333,0
4.5,1472,-0.5620739,-43.57569,0
4.52,1472,-0.5928943,-43.50821,0
4.54,1472,-0.6113737,-43.37325,0
4.56,1472,-0.6318212,-43.37325,0
4.58,1472,-0.64482,-43.03585,0
4.6,1472,-0.6679728,-43.50821,0
4.62,1472,-0.6872349,-43.37325,0
4.64,1472,-0.6920627,-43.84561,0
4.66,1472,-0.7020261,-43.30577,0
4.68,1472,-0.7205965,-43.03585,0
4.7,1472,-0.7273134,-43.03585,0
4.72,1472,-0.7431973,-43.84561,0
4.74,1472,-0.7590844,-42.96837,0
4.76,1472,-0.7724155,-43.30577,0
4.78,1472,-0.7830558,-43.71065,0
