Tiempo,ControlPWM,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado
0,0,0.07482722,0.03111085,0.04504682,-0.2354416,-0.1185694,-0.02484481,-6.283803
0.02,0,0.1674763,0.0828767,0.1519171,-0.6837574,-0.05108929,-0.04396385,-1.512007
0.04,0,0.2472046,0.1371119,0.1824515,-1.233422,0.0163908,-0.02155,3.142477
0.06,0,0.3187842,0.187618,0.04504682,-1.825289,-0.1185694,-0.02136893,-5.138654
0.08,0,0.3859171,0.2335331,0.07558119,-2.431338,-0.1185694,-0.05130635,-5.409956
0.1,0,0.4398463,0.2711958,0.1366499,-3.005378,-0.1185694,-0.07788762,-4.077832
0.12,0,0.4949981,0.305353,0.07558119,-3.561984,-0.1185694,-0.09521604,-2.875679
0.14,0,0.5273925,0.3284036,-0.04655629,-4.035407,-0.1185694,-0.1072007,-2.144549
0.16,0,0.5653079,0.3490135,0.09084838,-4.470756,-0.1185694,-0.115241,-1.675528
0.18,0,0.6019564,0.3683837,0.1671843,-4.876709,-0.1185694,-0.1208529,-1.398827
0.2,0,0.6469197,0.3910168,0.09084838,-5.289191,-0.1185694,-0.1242881,-1.233228
0.22,0,0.6968688,0.4174169,0.1977187,-5.721638,-0.05108929,-0.1082675,2.435874
0.24,0,0.7299501,0.4385386,0.04504682,-6.114365,-0.05108929,-0.08363546,1.579523
0.26,0,0.7601467,0.4562119,0.01451245,-6.471549,-0.05108929,-0.06862514,0.1927906
0.28,0,0.7851852,0.4704262,0.2282531,-6.788832,-0.1185694,-0.08158988,-4.351796
0.3,0,0.8053282,0.4813689,0.06031401,-7.064044,-0.1185694,-0.1107297,-3.959984
0.32,0,0.8418791,0.4980329,0.1671843,-7.362785,-0.1185694,-0.1328938,-2.632974
0.34,0,0.866877,0.512652,0.01451245,-7.640837,-0.1185694,-0.1468901,-1.610489
0.36,0,0.888629,0.5250657,0.07558119,-7.895403,-1.06329,-0.4051911,-51.48802
0.38,0,0.9166489,0.5394238,0.2587874,-8.152847,-0.1185694,-0.5423757,10.85942
0.4,0,0.9440148,0.5544517,0.04504682,-8.410717,-0.1185694,-0.4238273,18.96789
0.42,0,0.9793085,0.5730419,0.1519171,-8.694496,-1.13077,-0.5619309,-40.67975
0.44,0,0.9826426,0.5799639,0.1671843,-8.894349,-1.19825,-0.9063851,-38.5075
0.46,0,0.9994352,0.5874809,0.1977187,-9.080382,-1.06329,-1.136172,-14.01528
0.48,0,1.007224,0.5918632,0.06031401,-9.228467,-0.1185694,-0.9756949,48.71933
0.5,0,1.01061,0.5932161,0.1366499,-9.338117,-0.1185694,-0.6124983,42.36013
0.52,200,1.033579,0.8193067,0.304589,10.92017,-0.1185694,-0.3346314,25.02257
0.54,200,1.021163,1.274623,-0.04655629,24.50085,-1.06329,-0.4262157,-38.31681
0.56,200,1.057362,1.765789,5.77024,33.47012,-0.1185694,-0.4930319,16.67757
0.58,200,1.660296,2.43583,35.26643,37.57472,-0.05108929,-0.2993369,25.97031
0.6,200,2.578815,3.254896,46.53362,37.43762,-0.1185694,-0.08813846,14.03714
