Tiempo,ControlPWM,ThetaMedido,ThetaEstimado,VelocidadMedida,VelocidadEstimada
0,0,-0.006409951,-0.0177171,-3.862597,-0.8379241
0.02,0,-0.01345462,-0.02269407,-3.877864,-0.626446
0.04,0,-0.0180065,-0.02226653,-3.908398,-0.205381
0.06,0,-0.01042271,0.006362177,-3.923666,1.384783
0.08,0,-0.01759079,-0.03214816,-3.938933,-1.013113
0.1,0,-0.01464754,-0.004038721,-3.938933,0.9323986
0.12,0,-0.00931067,3.758259e-05,-3.893131,0.7957824
0.14,0,-0.01214259,-0.01771277,-3.938933,-0.3494749
0.16,0,-0.008423418,0.0009734984,-3.923666,0.7936047
0.18,0,-0.005522303,-0.001108803,-4.000001,0.3835852
0.2,0,-0.009158298,-0.0156859,-3.877864,-0.4452545
0.22,0,-0.01890139,-0.03347858,-3.893131,-1.004986
0.24,0,-0.03005377,-0.04411213,-3.908398,-0.8855293
0.26,0,-0.03148216,-0.02691348,-3.847329,0.5795196
0.28,0,-0.0264001,-0.01390412,-3.923666,1.16249
0.3,0,-0.03691828,-0.05426545,-3.9542,-1.09441
0.32,0,-0.03834648,-0.03215364,-3.969467,0.7549361
0.34,0,-0.03912761,-0.03633098,-3.938933,0.4947537
0.36,0,-0.04360087,-0.0465299,-3.908398,0.07918161
0.38,0,-0.04542328,-0.04188759,-3.923666,0.5971209
0.4,0,-0.04398549,-0.03574378,-3.893131,0.9544375
0.42,0,-0.04607203,-0.04520231,-3.893131,0.3932637
0.44,0,-0.0460284,-0.03962035,-3.923666,0.8256889
0.46,0,-0.04166597,-0.02876067,-3.923666,1.302275
0.48,0,-0.03590756,-0.02246917,-3.877864,1.303118
0.5,0,-0.02795351,-0.01156553,-3.877864,1.477312
0.52,0,-0.02776031,-0.02678168,-3.938933,0.2722619
0.54,0,-0.02556906,-0.01798476,-3.923666,0.7730289
0.56,0,-0.02519847,-0.02246288,-3.923666,0.3915578
0.58,0,-0.01914539,-0.005462181,-3.893131,1.204006
0.6,0,-0.01290711,-0.001959838,-3.9542,0.946035
0.62,0,-0.008829653,-0.002027309,-3.908398,0.5935161
0.64,0,0.002137221,0.02135377,-3.893131,1.485795
0.66,0,0.0137952,0.03017776,-3.908398,1.18185
