Tiempo,ControlPWM,Plataforma,Posicion,Error,TiempoTranscurrido
0,-24.76728,0.06919689,-4.30233,-0.69767,0
0.02,-21.67407,0.1262391,-4.36981,-0.6301899,7144
0.04,-24.83476,0.1802634,-4.30233,-0.69767,7164
0.06,-19.21105,0.2269773,-4.43729,-0.5627098,7168
0.08,-24.96972,0.2787046,-4.30233,-0.69767,7180
0.1,-26.26272,0.3354117,-4.23485,-0.7651501,7168
0.12,-24.90224,0.3706005,-4.30233,-0.69767,7164
0.14,-23.93465,0.4042791,-4.30233,-0.69767,7160
0.16,-24.90224,0.4386552,-4.30233,-0.69767,7160
0.18,-23.93465,0.48304,-4.30233,-0.69767,7156
0.2,-22.5067,0.512921,-4.36981,-0.6301899,7152
0.22,-21.60659,0.5437807,-4.36981,-0.6301899,7164
0.24,-24.90224,0.5731866,-4.30233,-0.69767,7172
0.26,-23.93465,0.5962151,-4.30233,-0.69767,7168
0.28,-22.5067,0.620905,-4.36981,-0.6301899,7160
0.3,-21.60659,0.6496401,-4.36981,-0.6301899,7168
0.32,-24.90224,0.6718743,-4.30233,-0.69767,7164
0.34,-23.93465,0.6887537,-4.30233,-0.69767,7180
0.36,-24.90224,0.7063916,-4.30233,-0.69767,7160
0.38,-21.53911,0.7195044,-4.36981,-0.6301899,7164
0.4,-22.57418,0.7346347,-4.36981,-0.6301899,7168
0.42,-21.53911,0.7549394,-4.36981,-0.6301899,7152
0.44,-22.57418,0.7602007,-4.36981,-0.6301899,7164
0.46,-21.53911,0.7687583,-4.36981,-0.6301899,7156
0.48,-22.57418,0.779933,-4.36981,-0.6301899,7156
0.5,335.8564,0.7948356,-4.43729,9.43729,7156
0.52,319.9628,0.8118059,-4.30233,9.30233,7176
0.54,333.5959,0.7295781,-4.36981,9.36981,7176
0.56,319.8953,0.3703192,-4.30233,9.30233,7160
0.58,331.2678,-0.3326111,-4.30233,9.30233,7156
0.6,310.3131,-1.879568,-4.03241,9.03241,7144
0.62,367.4708,-3.562772,-5.314529,10.31453,7168
0.64,323.4043,-5.319247,-4.43729,9.43729,7200
0.66,332.4149,-7.071482,-4.30233,9.30233,7160
0.68,285.2105,-8.571246,-3.357609,8.357609,7168
0.7,311.7998,-9.895844,-3.695009,8.695009,7128
0.72,320.8063,-10.66174,-4.36981,9.36981,7120
0.74,277.5874,-10.62204,-2.75029,7.75029,7156
0.76,298.4704,-10.54993,-3.695009,8.695009,7104
0.78,300.5981,-10.54089,-3.425089,8.425089,7136
0.8,241.2473,-10.57387,-2.075489,7.075489,7108
0.82,254.0369,-10.38615,-2.075489,7.075489,7028
0.84,193.3365,-10.4235,-0.7258892,5.725889,7024
0.86,219.4534,-10.12174,-1.06329,6.06329,6956
0.88,183.417,-9.601366,-0.4559698,5.45597,6972
0.9,210.4786,-9.113748,-0.7933693,5.793369,6944
0.92,156.7287,-8.300227,0.2863102,4.71369,6952
0.94,154.0653,-7.817646,0.8261509,4.173849,6884
0.96,114.1488,-7.274904,1.500951,3.499049,6860
0.98,106.8293,-7.086528,2.175751,2.824249,6816
1,66.91277,-6.480057,2.850551,2.149449,6788
1.02,57.19774,-5.893143,3.592831,1.407169,6744
1.04,19.74426,-5.127898,4.20015,0.7998495,6700
1.06,21.87198,-4.428886,4.60503,0.3949699,6632
1.08,-18.17948,-3.639813,5.27983,-0.27983,6636
1.1,-63.69267,-2.872935,7.03431,-2.03431,6584
1.12,-52.35812,-2.073911,6.29203,-1.29203,6488
1.14,-95.57696,-0.9688363,7.91155,-2.91155,6516
1.16,-132.187,-0.05538262,8.58635,-3.58635,6440
1.18,-140.4174,0.7878432,9.19367,-4.19367,6412
1.2,-177.0949,1.623046,9.86847,-4.86847,6364
1.22,-194.8401,2.525848,10.74571,-5.74571,6324
1.24,-197.7775,3.184015,10.47579,-5.47579,6272
1.26,-219.0654,3.962986,11.42051,-6.42051,6296
1.28,-275.8856,4.609972,12.70263,-7.70263,6224
1.3,-229.7609,5.105239,11.75791,-6.75791,6132
1.32,-252.8749,5.644739,12.02783,-7.02783,6196
1.34,-296.5661,6.422967,13.64735,-8.64735,6172
1.36,-287.1885,6.845276,13.04003,-8.04003,6096
1.38,-294.7779,7.385831,13.57987,-8.57987,6124
1.4,-296.2308,8.036281,13.30995,-8.30995,6096
1.42,-275.8835,8.431089,13.04003,-8.04003,6128
1.44,-284.5231,8.782456,12.97255,-7.97255,6144
1.46,-275.951,8.959553,13.04003,-8.04003,6144
1.48,-296.4333,8.942558,13.30995,-8.30995,6152
1.5,-299.6365,8.997629,13.71483,-8.71483,6152
1.52,-284.0507,8.94616,12.97255,-7.97255,6096
1.54,-286.0055,8.980279,13.30995,-8.30995,6140
1.56,-274.1311,8.970436,12.70263,-7.70263,6116
1.58,-289.0084,8.904655,13.37743,-8.37743,6188
1.6,-239.9187,8.930677,11.75791,-6.75791,6084
1.62,-252.2993,8.867317,12.29775,-7.29775,6220
1.64,-248.9611,8.675483,12.02783,-7.02783,6172
1.66,-233.4048,8.536498,11.75791,-6.75791,6200
1.68,-194.1336,8.405179,10.47579,-5.47579,6216
1.7,-222.7093,8.252544,11.42051,-6.42051,6288
1.72,-190.7933,7.921201,10.40831,-5.40831,6224
1.74,-187.7884,7.584551,10.40831,-5.40831,6292
1.76,-154.8602,7.35676,9.396111,-4.396111,6276
1.78,-119.3299,6.959153,8.45139,-3.45139,6344
1.8,-91.12537,6.58902,7.57415,-2.57415,6400
1.82,-101.0428,6.068027,7.91155,-2.91155,6444
1.84,-81.20581,5.448442,7.30423,-2.30423,6428
1.86,-44.15721,4.929417,6.29203,-1.29203,6464
1.88,-19.93398,4.135172,5.54975,-0.5497503,6532
