Tiempo,ControlPWM,Plataforma,Posicion,Error,TiempoTranscurrido
0,7.820298,-0.008059539,-0.3884897,0.3884897,0
0.02,9.279679,-0.01490449,-0.4559698,0.4559698,6908
0.04,8.039858,-0.03184535,-0.3884897,0.3884897,6920
0.06,10.85761,-0.04295417,-0.5234499,0.5234499,6924
0.08,8.276962,-0.0553311,-0.3884897,0.3884897,6928
0.1,11.09472,-0.06588216,-0.5234499,0.5234499,6916
0.12,11.23081,-0.07344508,-0.5234499,0.5234499,6920
0.14,8.650163,-0.07718904,-0.3884897,0.3884897,6924
0.16,10.10954,-0.07781456,-0.4559698,0.4559698,6920
0.18,10.2281,-0.09297445,-0.4559698,0.4559698,6928
0.2,10.34665,-0.1084019,-0.4559698,0.4559698,6920
0.22,11.82358,-0.1144979,-0.5234499,0.5234499,6924
0.24,9.242924,-0.1141553,-0.3884897,0.3884897,6932
0.26,12.06068,-0.1051224,-0.5234499,0.5234499,6924
0.28,12.19678,-0.1096281,-0.5234499,0.5234499,6932
0.3,10.9745,-0.1152286,-0.4559698,0.4559698,6916
0.32,11.09305,-0.1166468,-0.4559698,0.4559698,6924
0.34,9.85323,-0.1281911,-0.3884897,0.3884897,6920
0.36,12.67099,-0.1222468,-0.5234499,0.5234499,6924
0.38,12.80708,-0.1314399,-0.5234499,0.5234499,6924
0.4,12.94318,-0.139638,-0.5234499,0.5234499,6928
0.42,11.7209,-0.1338049,-0.4559698,0.4559698,6916
0.44,11.83945,-0.1359145,-0.4559698,0.4559698,6932
0.46,10.59963,-0.1399585,-0.3884897,0.3884897,6916
0.48,12.05901,-0.151673,-0.4559698,0.4559698,6928
0.5,12.17757,-0.1510602,-0.4559698,0.4559698,6932
0.52,10.93774,-0.1441411,-0.3884897,0.3884897,6932
0.54,12.39713,-0.1504999,-0.4559698,0.4559698,6932
0.56,13.87405,-0.1509462,-0.5234499,0.5234499,6924
0.58,12.65177,-0.1567461,-0.4559698,0.4559698,6924
0.6,14.1287,-0.1601539,-0.5234499,0.5234499,6928
0.62,14.2648,-0.1678237,-0.5234499,0.5234499,6920
0.64,13.04252,-0.1702474,-0.4559698,0.4559698,6928
0.66,13.16107,-0.1779871,-0.4559698,0.4559698,6928
0.68,14.638,-0.1779585,-0.5234499,0.5234499,6912
0.7,13.41572,-0.1839841,-0.4559698,0.4559698,6924
0.72,14.89265,-0.1797229,-0.5234499,0.5234499,6920
0.74,15.02875,-0.1877262,-0.5234499,0.5234499,6940
