Tiempo,ControlPWM,ReferenciaPosicion,ReferenciaTheta,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
0,-69.79933,0,0,-0.09914047,-0.08944502,-0.3824344,0.2043183,-0.7933693,-0.6577531,-3.243733,0
0.02,-57.8845,0,0,-0.1910974,-0.2185647,-0.3366328,-6.426525,-0.7258892,-0.7884395,-3.580184,7816
0.04,-37.02636,0,0,-0.2742154,-0.4091491,-0.2908313,-9.354697,-0.7258892,-0.8141431,-3.392106,7960
0.06,-26.01405,0,0,-0.3479718,-0.5559959,-0.1228922,-8.916985,-0.7933693,-0.8545269,-2.956175,7948
0.08,-15.42739,0,0,-0.382144,-0.6142102,2.045048,-7.352086,-0.7933693,-0.8393949,-2.005612,7968
0.1,20.44533,0,0,-0.3869486,-0.5893508,3.464895,-5.163533,-0.4559698,-0.538722,0.1910412,7956
0.12,19.80452,0,0,-0.2914835,-0.4636426,9.281691,-0.343724,-0.4559698,-0.429031,1.505121,7932
0.14,-21.8527,0,0,-0.04991835,-0.2176625,17.70918,2.053864,-0.7933693,-0.6404016,1.588305,7944
0.16,-29.47997,0,0,0.3515397,0.1131488,20.94582,-1.772811,-0.7258892,-0.6060625,2.931074,7960
0.18,47.46963,0,0,0.6257118,0.3688827,14.5794,-5.902998,0.2188301,0.1749271,6.462274,7964
0.2,39.20407,0,0,0.5984344,0.4400015,0.1977187,-0.8948278,0.2188301,0.3478081,5.595303,7860
0.22,23.22885,0,0,0.6498245,0.5672959,11.83131,1.431747,0.2863102,0.4243144,4.925035,7904
0.24,2.505098,0,0,0.9978748,0.8311656,17.25116,0.3345497,0.2863102,0.4596932,5.01551,7884
0.26,-14.43571,0,0,1.127397,0.9691335,12.18246,-2.967382,0.2863102,0.4395816,3.780741,7916
0.28,-24.6424,0,0,1.263545,1.029136,5.403827,-7.327654,0.2863102,0.4125582,2.628911,7892
0.3,-118.1576,0,0,1.186284,0.8847435,-3.481672,-11.17772,-0.7258892,-0.4582615,-2.790452,7900
0.32,-110.6159,0,0,1.033802,0.6126239,-6.229764,-22.73672,-0.7258892,-0.7278053,-4.778007,7968
0.34,-85.48961,0,0,0.7105636,0.1463085,-20.48931,-28.67898,-0.7933693,-0.8816702,-6.366192,7964
0.36,-50.0653,0,0,-0.1094106,-0.565941,-43.52748,-27.62453,-0.7933693,-0.9915709,-8.553079,7972
0.38,-8.161224,0,0,-0.9450185,-1.259384,-30.97787,-20.71424,-0.7258892,-1.001231,-9.156788,7980
0.4,14.15931,0,0,-1.430982,-1.656394,-21.0084,-10.23382,-0.7933693,-1.025042,-7.832931,7948
0.42,27.62277,0,0,-1.440634,-1.625278,4.625201,-0.7886901,-0.7933693,-0.9434705,-4.357146,7960
0.44,123.3929,0,0,-1.172728,-1.248939,16.67101,6.229786,0.2863102,0.04332399,3.234721,7960
0.46,69.60193,0,0,-0.5961006,-0.6130704,27.66338,18.82539,-0.1185694,0.0736302,5.946863,7884
0.48,-4.762714,0,0,0.1271735,0.1847646,44.19773,19.4863,-0.4559698,-0.1359513,7.054862,7920
0.5,-36.20232,0,0,1.127005,1.010416,45.67865,9.303635,-0.3884897,-0.07927115,8.985455,7928
0.52,31.57357,0,0,1.551352,1.423141,17.43437,-2.086743,0.6237106,0.7118833,10.92531,7948
0.54,-71.74982,0,0,1.495053,1.367883,-6.09236,-2.932354,-0.3884897,0.01218506,4.201749,7880
0.56,-84.04118,0,0,1.070455,1.012554,-16.27557,-12.76977,-0.3884897,-0.2946327,-0.548092,7960
0.58,-67.84045,0,0,1.017874,0.6743446,-7.359537,-20.30308,-0.3884897,-0.3896936,-2.079446,7944
0.6,-20.49614,0,0,0.4020034,0.1012427,-36.04657,-21.81674,-0.1185694,-0.2684844,-3.866863,7952
0.62,6.214603,0,0,-0.5112171,-0.6209149,-36.42825,-15.26438,-0.1185694,-0.3174348,-6.37923,7912
