Tiempo,ControlPWM,ReferenciaPosicion,ReferenciaTheta,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
0,-94.88939,0,0,0.02844231,-0.03005568,-0.1228922,-0.1767623,-1.06329,-0.8578035,-3.6845,0
0.02,-90.20912,0,0,0.03743796,-0.1065303,0.07558119,-9.911953,-1.06329,-1.088353,-4.125581,7844
0.04,-65.84776,0,0,0.06409495,-0.2694785,-0.2908313,-15.96825,-1.06329,-1.129826,-3.7252,7984
0.06,-43.93849,0,0,-0.02671785,-0.4589847,-8.382438,-17.21786,-1.06329,-1.124671,-3.266396,7980
0.08,-2.480968,0,0,-0.411015,-0.7360815,-21.35954,-14.65595,-0.7933693,-0.9262694,-2.727267,7980
0.1,9.274303,0,0,-0.5858657,-0.8679386,-8.077094,-8.150146,-0.7933693,-0.8536091,-1.764193,7968
0.12,-74.3874,0,0,-0.6233977,-0.8660634,0.09084838,-2.546464,-1.738089,-1.571654,-3.840293,7952
0.14,-76.39275,0,0,-0.3473928,-0.6787024,16.74734,-8.042405,-1.738089,-1.708731,-2.135065,8004
0.16,-64.78423,0,0,-0.1355753,-0.5714214,7.174821,-12.56268,-1.738089,-1.709418,-0.8230636,8012
0.18,-51.71338,0,0,-0.4436292,-0.7613122,-14.88626,-13.5752,-1.738089,-1.750151,-1.726814,8020
0.2,47.05773,0,0,-0.8085155,-1.002338,-14.87099,-11.74466,-0.7933693,-1.02295,1.007054,7996
0.22,55.47957,0,0,-1.006309,-1.104776,-11.74122,0.1229484,-0.7933693,-0.8162087,1.921862,7940
0.24,42.36232,0,0,-1.202074,-1.058644,4.90001,9.476228,-0.7933693,-0.7679924,2.239467,7960
0.26,-4.676636,0,0,-0.2341916,-0.3736569,46.47255,11.64076,-1.06329,-0.8281008,5.799193,7952
0.28,49.88572,0,0,0.5200713,0.3551073,37.20537,6.041536,-0.1185694,-0.02574956,10.9055,7976
0.3,-6.729256,0,0,1.051471,0.8669256,23.75498,6.030357,-0.4559698,-0.08764832,9.849783,7924
