Tiempo,ControlPWM,Plataforma,Posicion,Error
0,35.70166,-0.1415386,-0.7933693,0.7933693
0.02,35.70166,-0.2768354,-0.7933693,0.7933693
0.04,32.66504,-0.3944206,-0.7258892,0.7258892
0.06,35.70166,-0.502576,-0.7933693,0.7933693
0.08,35.70166,-0.5958483,-0.7933693,0.7933693
0.1,35.70166,-0.7075672,-0.7933693,0.7933693
0.12,35.70166,-0.7901382,-0.7933693,0.7933693
0.14,35.70166,-0.879484,-0.7933693,0.7933693
0.16,32.66504,-0.9545171,-0.7258892,0.7258892
0.18,35.70166,-1.031401,-0.7933693,0.7933693
0.2,35.70166,-1.101045,-0.7933693,0.7933693
0.22,35.70166,-1.168386,-0.7933693,0.7933693
0.24,35.70166,-1.218999,-0.7933693,0.7933693
0.26,35.70166,-1.280167,-0.7933693,0.7933693
0.28,35.70166,-1.342376,-0.7933693,0.7933693
0.3,35.70166,-1.388198,-0.7933693,0.7933693
0.32,35.70166,-1.430548,-0.7933693,0.7933693
0.34,35.70166,-1.46513,-0.7933693,0.7933693
0.36,35.70166,-1.509814,-0.7933693,0.7933693
0.38,35.70166,-1.549627,-0.7933693,0.7933693
0.4,35.70166,-1.580357,-0.7933693,0.7933693
0.42,35.70166,-1.606576,-0.7933693,0.7933693
0.44,35.70166,-1.635783,-0.7933693,0.7933693
0.46,35.70166,-1.652355,-0.7933693,0.7933693
0.48,32.66504,-1.669446,-0.7258892,0.7258892
0.5,29.62842,-1.69783,-0.6584091,0.6584091
0.52,38.73828,-1.722161,-0.8608494,0.8608494
0.54,35.70166,-1.730774,-0.7933693,0.7933693
0.56,35.70166,-1.7541,-0.7933693,0.7933693
0.58,35.70166,-1.762253,-0.7933693,0.7933693
0.6,32.66504,-1.793631,-0.7258892,0.7258892
0.62,35.70166,-1.815874,-0.7933693,0.7933693
0.64,35.70166,-1.82662,-0.7933693,0.7933693
0.66,35.70166,-1.838598,-0.7933693,0.7933693
0.68,35.70166,-1.842709,-0.7933693,0.7933693
0.7,35.70166,-1.859235,-0.7933693,0.7933693
0.72,35.70166,-1.870664,-0.7933693,0.7933693
0.74,32.66504,-1.876293,-0.7258892,0.7258892
0.76,35.70166,-1.882415,-0.7933693,0.7933693
0.78,35.70166,-1.892001,-0.7933693,0.7933693
0.8,35.70166,-1.897992,-0.7933693,0.7933693
0.82,35.70166,-1.910743,-0.7933693,0.7933693
0.84,35.70166,-1.925299,-0.7933693,0.7933693
0.86,35.70166,-1.93109,-0.7933693,0.7933693
0.88,35.70166,-1.936066,-0.7933693,0.7933693
0.9,35.70166,-1.942254,-0.7933693,0.7933693
0.92,32.66504,-1.956643,-0.7258892,0.7258892
0.94,35.70166,-1.963101,-0.7933693,0.7933693
0.96,35.70166,-1.955745,-0.7933693,0.7933693
0.98,35.70166,-1.965944,-0.7933693,0.7933693
1,32.66504,-1.971676,-0.7258892,0.7258892
1.02,35.70166,-1.973509,-0.7933693,0.7933693
1.04,35.70166,-1.990525,-0.7933693,0.7933693
1.06,35.70166,-1.998531,-0.7933693,0.7933693
1.08,32.66504,-2.004066,-0.7258892,0.7258892
1.1,35.70166,-2.006294,-0.7933693,0.7933693
1.12,35.70166,-2.007216,-0.7933693,0.7933693
1.14,35.70166,-2.006078,-0.7933693,0.7933693
1.16,35.70166,-2.005511,-0.7933693,0.7933693
1.18,35.70166,-2.009548,-0.7933693,0.7933693
1.2,35.70166,-2.006802,-0.7933693,0.7933693
1.22,35.70166,-2.003437,-0.7933693,0.7933693
1.24,35.70166,-2.008685,-0.7933693,0.7933693
1.26,35.70166,-2.0123,-0.7933693,0.7933693
1.28,35.70166,-2.011098,-0.7933693,0.7933693
1.3,35.70166,-2.007859,-0.7933693,0.7933693
1.32,35.70166,-2.010263,-0.7933693,0.7933693
1.34,35.70166,-2.019296,-0.7933693,0.7933693
1.36,32.66504,-2.021757,-0.7258892,0.7258892
1.38,35.70166,-2.02625,-0.7933693,0.7933693
1.4,29.62842,-2.026336,-0.6584091,0.6584091
1.42,35.70166,-2.024491,-0.7933693,0.7933693
1.44,35.70166,-2.031435,-0.7933693,0.7933693
1.46,32.66504,-2.024223,-0.7258892,0.7258892
1.48,32.66504,-2.015764,-0.7258892,0.7258892
1.5,35.70166,-2.016778,-0.7933693,0.7933693
1.52,35.70166,-2.018381,-0.7933693,0.7933693
1.54,35.70166,-2.016786,-0.7933693,0.7933693
1.56,35.70166,-2.010083,-0.7933693,0.7933693
1.58,35.70166,-2.005249,-0.7933693,0.7933693
1.6,35.70166,-2.015457,-0.7933693,0.7933693
