Tiempo,ControlPWM,Plataforma,Posicion,Error,TiempoTranscurrido
0,-3.019352,0.01629766,0.08387089,-0.08387089,0
0.02,-5.448601,0.04339888,0.15135,-0.15135,6876
0.04,-7.877884,0.05466444,0.2188301,-0.2188301,6876
0.06,-5.448601,0.06040943,0.15135,-0.15135,6884
0.08,-7.877884,0.06665631,0.2188301,-0.2188301,6904
0.1,-5.448601,0.08435976,0.15135,-0.15135,6888
0.12,-10.30717,0.1059644,0.2863102,-0.2863102,6892
0.14,-7.877884,0.1154148,0.2188301,-0.2188301,6888
0.16,-7.877884,0.111996,0.2188301,-0.2188301,6884
0.18,-10.30717,0.1111382,0.2863102,-0.2863102,6756
0.2,-5.448601,0.1377809,0.15135,-0.15135,6900
0.22,-5.448601,0.150538,0.15135,-0.15135,6884
0.24,-7.877884,0.1536418,0.2188301,-0.2188301,6876
0.26,-5.448601,0.1544776,0.15135,-0.15135,6884
0.28,-5.448601,0.1593351,0.15135,-0.15135,6908
0.3,-7.877884,0.1809182,0.2188301,-0.2188301,6876
0.32,-7.877884,0.1909179,0.2188301,-0.2188301,6880
0.34,-7.877884,0.1859954,0.2188301,-0.2188301,6880
0.36,-10.30717,0.183174,0.2863102,-0.2863102,6888
0.38,-10.30717,0.1918009,0.2863102,-0.2863102,6896
0.4,-7.877884,0.207157,0.2188301,-0.2188301,6868
0.42,-7.877884,0.214781,0.2188301,-0.2188301,6888
0.44,-7.877884,0.2165868,0.2188301,-0.2188301,6876
0.46,-10.30717,0.2107351,0.2863102,-0.2863102,6868
0.48,-7.877884,0.2233552,0.2188301,-0.2188301,6912
0.5,-5.448601,0.2355409,0.15135,-0.15135,6872
0.52,-7.877884,0.2411131,0.2188301,-0.2188301,6884
0.54,-5.448601,0.2405412,0.15135,-0.15135,6888
0.56,-7.877884,0.2527975,0.2188301,-0.2188301,6892
0.58,-5.448601,0.2615496,0.15135,-0.15135,6884
0.6,-7.877884,0.2633661,0.2188301,-0.2188301,6884
0.62,-7.877884,0.2636257,0.2188301,-0.2188301,6876
0.64,-5.448601,0.266968,0.15135,-0.15135,6872
0.66,-5.448601,0.2745202,0.15135,-0.15135,6880
0.68,-5.448601,0.2799974,0.15135,-0.15135,6872
0.7,-5.448601,0.2810721,0.15135,-0.15135,6880
0.72,-7.877884,0.2814571,0.2188301,-0.2188301,6872
0.74,-7.877884,0.2867967,0.2188301,-0.2188301,6872
0.76,-7.877884,0.2880648,0.2188301,-0.2188301,6872
0.78,-7.877884,0.2800969,0.2188301,-0.2188301,6872
0.8,-5.448601,0.2820661,0.15135,-0.15135,6892
0.82,-7.877884,0.2855642,0.2188301,-0.2188301,6884
0.84,-7.877884,0.2876602,0.2188301,-0.2188301,6888
0.86,-5.448601,0.2939432,0.15135,-0.15135,6884
0.88,-10.30717,0.2972178,0.2863102,-0.2863102,6880
0.9,-7.877884,0.289214,0.2188301,-0.2188301,6888
0.92,-5.448601,0.2955911,0.15135,-0.15135,6900
0.94,-5.448601,0.3006967,0.15135,-0.15135,6888
0.96,-5.448601,0.3008942,0.15135,-0.15135,6872
0.98,-7.877884,0.2964303,0.2188301,-0.2188301,6876
1,-7.877884,0.2983185,0.2188301,-0.2188301,6888
1.02,-5.448601,0.3076716,0.15135,-0.15135,6872
1.04,-7.877884,0.3133882,0.2188301,-0.2188301,6888
1.06,-7.877884,0.3106523,0.2188301,-0.2188301,6880
1.08,-5.448601,0.2926686,0.15135,-0.15135,6888
1.1,-10.30717,0.292496,0.2863102,-0.2863102,6896
1.12,-7.877884,0.2944353,0.2188301,-0.2188301,6872
1.14,-7.877884,0.2885976,0.2188301,-0.2188301,6892
1.16,-10.30717,0.2788074,0.2863102,-0.2863102,6880
1.18,-7.877884,0.2785333,0.2188301,-0.2188301,6896
1.2,-7.877884,0.2823257,0.2188301,-0.2188301,6884
1.22,-7.877884,0.2841216,0.2188301,-0.2188301,6872
1.24,-7.877884,0.2893113,0.2188301,-0.2188301,6876
1.26,-5.448601,0.2874857,0.15135,-0.15135,6872
1.28,-10.30717,0.2851174,0.2863102,-0.2863102,6892
1.3,-7.877884,0.2919967,0.2188301,-0.2188301,6884
1.32,-7.877884,0.2973772,0.2188301,-0.2188301,6892
1.34,-7.877884,0.2977958,0.2188301,-0.2188301,6880
1.36,-10.30717,0.2897595,0.2863102,-0.2863102,6872
1.38,-7.877884,0.295396,0.2188301,-0.2188301,6884
1.4,-7.877884,0.304943,0.2188301,-0.2188301,6884
1.42,-7.877884,0.3037393,0.2188301,-0.2188301,6876
1.44,-7.877884,0.2990477,0.2188301,-0.2188301,6876
1.46,-7.877884,0.3019657,0.2188301,-0.2188301,6872
1.48,-7.877884,0.293905,0.2188301,-0.2188301,6876
1.5,-7.877884,0.2951366,0.2188301,-0.2188301,6872
1.52,-7.877884,0.2966554,0.2188301,-0.2188301,6876
1.54,-5.448601,0.2910087,0.15135,-0.15135,6876
1.56,-7.877884,0.2895432,0.2188301,-0.2188301,6892
1.58,-5.448601,0.2896658,0.15135,-0.15135,6888
1.6,-7.877884,0.288074,0.2188301,-0.2188301,6884
1.62,-5.448601,0.2901591,0.15135,-0.15135,6888
1.64,-7.877884,0.2916601,0.2188301,-0.2188301,6884
1.66,-7.877884,0.2963179,0.2188301,-0.2188301,6896
1.68,-7.877884,0.2965556,0.2188301,-0.2188301,6872
1.7,-7.877884,0.2979653,0.2188301,-0.2188301,6876
1.72,-5.448601,0.3015574,0.15135,-0.15135,6876
1.74,-5.448601,0.3002496,0.15135,-0.15135,6888
1.76,-5.448601,0.3031781,0.15135,-0.15135,6876
1.78,-5.448601,0.3014438,0.15135,-0.15135,6872
1.8,-7.877884,0.2958022,0.2188301,-0.2188301,6872
1.82,-5.448601,0.2994898,0.15135,-0.15135,6884
1.84,-5.448601,0.2948346,0.15135,-0.15135,6880
1.86,-10.30717,0.293088,0.2863102,-0.2863102,6888
1.88,-5.448601,0.2981676,0.15135,-0.15135,6880
1.9,-7.877884,0.301091,0.2188301,-0.2188301,6884
1.92,-7.877884,0.3081466,0.2188301,-0.2188301,6876
1.94,-7.877884,0.2968187,0.2188301,-0.2188301,6868
1.96,-5.448601,0.2932668,0.15135,-0.15135,6884
1.98,-7.877884,0.2893257,0.2188301,-0.2188301,6892
2,84.5514,0.2862316,0.15135,2.34865,6892
2.02,82.12212,0.2769572,0.2188301,2.28117,6888
2.04,82.12212,0.1990558,0.2188301,2.28117,6908
2.06,118.5613,-0.2745686,-0.7933693,3.293369,6880
2.08,118.5613,-0.9052575,-0.7933693,3.293369,6944
2.1,116.132,-1.268363,-0.7258892,3.225889,6932
2.12,118.5613,-1.885001,-0.7933693,3.293369,6960
2.14,118.5613,-2.359113,-0.7933693,3.293369,6940
2.16,118.5613,-2.829012,-0.7933693,3.293369,6924
2.18,82.12212,-3.026503,0.2188301,2.28117,6920
2.2,94.26849,-3.12846,-0.1185694,2.618569,6872
2.22,94.26849,-3.14976,-0.1185694,2.618569,6888
2.24,106.4149,-3.017308,-0.4559698,2.95597,6884
2.26,69.9757,-2.949188,0.5562305,1.943769,6924
2.28,84.5514,-2.90702,0.15135,2.34865,6860
2.3,91.83922,-2.914881,-0.05108929,2.551089,6872
2.32,60.25857,-2.784609,0.8261509,1.673849,6904
2.34,69.9757,-2.767027,0.5562305,1.943769,6844
2.36,82.12212,-2.723977,0.2188301,2.28117,6860
2.38,60.25857,-2.515623,0.8261509,1.673849,6872
2.4,69.9757,-2.414448,0.5562305,1.943769,6840
2.42,35.96577,-2.462029,1.500951,0.9990492,6872
2.44,45.6829,-2.328196,1.23103,1.26897,6792
2.46,21.39011,-2.308574,1.90583,0.5941696,6836
2.48,31.10724,-1.990875,1.63591,0.86409,6792
2.5,132.8144,-1.81689,2.31071,3.68929,6812
2.52,144.9608,-1.560698,1.97331,4.02669,6760
