Tiempo,ControlPWM,Plataforma,Posicion,Error,TiempoTranscurrido
0,0,0.03607896,-0.3884897,0.3884897,0
0.02,0,0.06779771,-0.4559698,0.4559698,6872
0.04,0,0.09163052,-0.4559698,0.4559698,6896
0.06,0,0.1198745,-0.5234499,0.5234499,6880
0.08,0,0.1417313,-0.5234499,0.5234499,6908
0.1,0,0.1541613,-0.4559698,0.4559698,6884
0.12,0,0.1715888,-0.4559698,0.4559698,6896
0.14,0,0.1994507,-0.5234499,0.5234499,6888
0.16,0,0.2226946,-0.4559698,0.4559698,6916
0.18,0,0.2452749,-0.5234499,0.5234499,6908
0.2,0,0.2618935,-0.5234499,0.5234499,6896
0.22,0,0.2769333,-0.4559698,0.4559698,6896
0.24,0,0.2869929,-0.5234499,0.5234499,6896
0.26,0,0.2965701,-0.4559698,0.4559698,6896
0.28,0,0.3095404,-0.5234499,0.5234499,6900
0.3,0,0.3234562,-0.4559698,0.4559698,6904
0.32,0,0.3338333,-0.5234499,0.5234499,6904
0.34,0,0.3386461,-0.5234499,0.5234499,6904
0.36,0,0.3599638,-0.4559698,0.4559698,6892
0.38,0,0.359784,-0.4559698,0.4559698,6912
0.4,0,0.3685536,-0.4559698,0.4559698,6888
0.42,0,0.38208,-0.4559698,0.4559698,6896
0.44,0,0.3844045,-0.4559698,0.4559698,6904
0.46,0,0.3830777,-0.5234499,0.5234499,6884
0.48,0,0.387955,-0.5234499,0.5234499,6888
0.5,0,0.3834696,-0.3884897,0.3884897,6896
0.52,0,0.3883781,-0.4559698,0.4559698,6892
0.54,0,0.383339,-0.5234499,0.5234499,6892
0.56,0,0.3919975,-0.5234499,0.5234499,6896
0.58,0,0.3848934,-0.5234499,0.5234499,6892
0.6,0,0.381439,-0.5234499,0.5234499,6884
0.62,0,0.3928337,-0.5234499,0.5234499,6884
0.64,0,0.4031635,-0.5234499,0.5234499,6884
0.66,0,0.4074227,-0.3884897,0.3884897,6884
0.68,0,0.4046848,-0.4559698,0.4559698,6900
0.7,0,0.4141203,-0.4559698,0.4559698,6888
0.72,0,0.4176466,-0.3884897,0.3884897,6880
0.74,0,0.4189882,-0.4559698,0.4559698,6908
0.76,0,0.4218459,-0.4559698,0.4559698,6888
0.78,0,0.4181881,-0.3884897,0.3884897,6884
0.8,0,0.4209021,-0.5234499,0.5234499,6880
0.82,0,0.4277862,-0.4559698,0.4559698,6896
0.84,0,0.4334247,-0.4559698,0.4559698,6896
0.86,0,0.4313222,-0.4559698,0.4559698,6896
0.88,0,0.4394765,-0.5234499,0.5234499,6888
0.9,0,0.4331095,-0.4559698,0.4559698,6912
0.92,0,0.4313509,-0.4559698,0.4559698,6900
0.94,0,0.4340007,-0.4559698,0.4559698,6896
0.96,0,0.4268557,-0.4559698,0.4559698,6900
0.98,0,0.4318626,-0.5234499,0.5234499,6880
1,0,0.4355526,-0.5234499,0.5234499,6900
1.02,0,0.4408055,-0.5234499,0.5234499,6896
1.04,0,0.4494935,-0.4559698,0.4559698,6892
1.06,0,0.4459891,-0.5234499,0.5234499,6912
1.08,0,0.4325031,-0.5234499,0.5234499,6892
1.1,0,0.4272494,-0.4559698,0.4559698,6896
1.12,0,0.4191156,-0.4559698,0.4559698,6892
1.14,0,0.4194442,-0.4559698,0.4559698,6888
1.16,0,0.4250413,-0.5234499,0.5234499,6888
1.18,0,0.4141775,-0.5234499,0.5234499,6896
1.2,0,0.4189321,-0.4559698,0.4559698,6896
1.22,0,0.4122397,-0.5234499,0.5234499,6904
1.24,0,0.4103985,-0.5234499,0.5234499,6892
1.26,0,0.4063661,-0.5234499,0.5234499,6876
1.28,0,0.4023822,-0.5234499,0.5234499,6888
1.3,0,0.4098269,-0.4559698,0.4559698,6884
1.32,0,0.4160101,-0.4559698,0.4559698,6896
1.34,0,0.4158977,-0.4559698,0.4559698,6900
1.36,0,0.4155717,-0.3884897,0.3884897,6876
1.38,0,0.4304505,-0.5234499,0.5234499,6888
1.4,0,0.4280172,-0.5234499,0.5234499,6904
1.42,0,0.4274906,-0.4559698,0.4559698,6872
1.44,0,0.4252028,-0.5234499,0.5234499,6896
1.46,0,0.4272122,-0.5234499,0.5234499,6880
1.48,0,0.4310093,-0.4559698,0.4559698,6884
1.5,0,0.429378,-0.4559698,0.4559698,6896
1.52,0,0.4295207,-0.4559698,0.4559698,6892
1.54,0,0.4270594,-0.5234499,0.5234499,6888
1.56,0,0.4256104,-0.4559698,0.4559698,6896
1.58,0,0.4255127,-0.5234499,0.5234499,6904
1.6,0,0.4376603,-0.4559698,0.4559698,6896
1.62,0,0.4377955,-0.4559698,0.4559698,6916
1.64,0,0.4389549,-0.4559698,0.4559698,6880
1.66,0,0.4431465,-0.5234499,0.5234499,6896
1.68,0,0.4379199,-0.3884897,0.3884897,6904
1.7,0,0.4395372,-0.4559698,0.4559698,6896
1.72,0,0.438141,-0.5234499,0.5234499,6904
1.74,0,0.4399996,-0.4559698,0.4559698,6900
1.76,0,0.4383765,-0.5234499,0.5234499,6904
1.78,0,0.4335783,-0.4559698,0.4559698,6900
