Tiempo,ControlPWM,Plataforma,Posicion,Error
0,0,-0.06796432,12.36523,-12.36523
0.02,0,-0.1294234,12.43271,-12.43271
0.04,0,-0.1912822,12.43271,-12.43271
0.06,0,-0.239535,12.36523,-12.36523
0.08,0,-0.2853126,12.36523,-12.36523
0.1,0,-0.3240092,12.36523,-12.36523
0.12,0,-0.3664425,12.36523,-12.36523
0.14,0,-0.4085004,12.36523,-12.36523
0.16,0,-0.4371356,12.36523,-12.36523
0.18,0,-0.4716184,12.36523,-12.36523
0.2,0,-0.5077724,12.36523,-12.36523
0.22,0,-0.5555959,12.29775,-12.29775
0.24,0,-0.5768879,12.43271,-12.43271
0.26,0,-0.5957345,12.43271,-12.43271
0.28,0,-0.6226231,12.36523,-12.36523
0.3,0,-0.6391885,12.36523,-12.36523
0.32,0,-0.6659114,12.29775,-12.29775
0.34,0,-0.6913818,12.29775,-12.29775
0.36,0,-0.7010996,12.36523,-12.36523
0.38,0,-0.7101731,12.29775,-12.29775
0.4,0,-0.727298,12.36523,-12.36523
0.42,0,-0.743524,12.43271,-12.43271
0.44,0,-0.7519135,12.29775,-12.29775
0.46,0,-0.7621097,12.36523,-12.36523
0.48,0,-0.7673793,12.29775,-12.29775
0.5,0,-0.7779034,12.36523,-12.36523
0.52,0,-0.7777084,12.43271,-12.43271
0.54,0,-0.7814085,12.36523,-12.36523
0.56,0,-0.7897411,12.36523,-12.36523
0.58,0,-0.7969764,12.29775,-12.29775
0.6,0,-0.8071698,12.43271,-12.43271
0.62,0,-0.8166406,12.36523,-12.36523
0.64,0,-0.8251777,12.36523,-12.36523
0.66,0,-0.846157,12.29775,-12.29775
0.68,0,-0.8549176,12.36523,-12.36523
0.7,0,-0.8543882,12.29775,-12.29775
0.72,0,-0.8558828,12.29775,-12.29775
0.74,0,-0.8587549,12.36523,-12.36523
0.76,0,-0.8564411,12.43271,-12.43271
0.78,0,-0.8705871,12.43271,-12.43271
0.8,0,-0.8657456,12.36523,-12.36523
0.82,0,-0.870228,12.36523,-12.36523
0.84,0,-0.8746372,12.36523,-12.36523
0.86,0,-0.8842931,12.36523,-12.36523
0.88,0,-0.8868727,12.43271,-12.43271
