Tiempo,ControlPWM,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado
0,0,0.08114487,0.1031838,0.1977187,0.400669,-1.06329,3.734273,-1219.634
0.02,0,0.1619284,0.1858969,0.1977187,0.1570297,-1.13077,-3.572365,493.0242
0.04,0,0.2338417,0.2500041,0.1671843,-0.3646477,-0.1185694,-5.841611,1403.362
0.06,0,0.3042158,0.3116467,0.2129859,-0.909855,-0.1185694,2.126305,-464.0654
0.08,0,0.3708657,0.3687525,0.1824515,-1.467044,-0.1185694,0.7289939,-174.7701
0.1,0,0.4296308,0.4168244,0.1519171,-2.031306,-0.1185694,0.2102334,-68.03752
0.12,0,0.4892095,0.4682432,0.2740546,-2.517361,-1.19825,3.796076,-1265.955
0.14,0,0.5437813,0.5139502,0.1824515,-3.00722,-0.05108929,-8.011772,1894.449
0.16,0,0.585087,0.5442634,0.1977187,-3.515247,-0.1185694,2.156281,-486.8131
0.18,0,0.6297408,0.5826515,0.1519171,-3.884241,-0.1185694,0.4092922,-109.9881
0.2,0,0.6792118,0.6277528,0.1977187,-4.210774,-0.1185694,0.0633806,-38.75459
0.22,0,0.7293121,0.6726801,0.2282531,-4.565506,-1.13077,3.482145,-1173.583
0.24,0,0.766816,0.7010733,0.1671843,-4.998975,-0.1860495,-7.10681,1634.407
0.26,0,0.7895691,0.713625,0.1824515,-5.411631,-0.1185694,1.038635,-227.5951
0.28,0,0.8204448,0.7412244,0.2282531,-5.632812,-0.1185694,0.5508361,-140.4059
0.3,0,0.8545035,0.7726138,0.1824515,-5.846778,-0.1185694,0.09366965,-46.03012
0.32,0,0.889678,0.8045371,0.1824515,-6.083639,-1.06329,3.236308,-1095.204
0.34,0,0.9168195,0.8256427,0.1671843,-6.379477,-0.1185694,-6.885442,1601.713
0.36,0,0.9458917,0.8509619,0.1824515,-6.60929,-1.13077,4.938414,-1476.777
0.38,0,0.9670634,0.8664108,0.1519171,-6.872547,-0.1185694,-6.836998,1606.061
0.4,0,0.9849789,0.879731,0.1519171,-7.087292,-0.1185694,1.689108,-377.6597
0.42,0,1.005748,0.8982281,0.1824515,-7.238333,-1.13077,4.039326,-1290.507
0.44,0,1.010939,0.8967841,0.1824515,-7.470608,-1.13077,-3.61344,510.8551
0.46,0,1.026351,0.9121296,0.1824515,-7.53067,-0.1185694,-5.670321,1363.523
0.48,0,1.034763,0.9174564,0.1977187,-7.661316,-1.13077,5.657233,-1626.306
0.5,0,1.047907,0.9301109,0.1977187,-7.726498,-1.19825,-2.792431,312.7255
0.52,200,1.064823,0.9468812,0.2129859,16.80502,-1.06329,-2.610666,345.9368
0.54,200,1.072398,1.442589,0.1061156,32.40628,-1.13077,-0.889328,-67.96533
0.56,200,1.098258,1.652863,3.49543,38.20555,-0.1185694,-4.955539,1215.79
0.58,200,1.741822,2.530095,41.55651,43.26489,-0.1185694,2.372828,-504.239
0.6,200,2.737233,3.65879,47.38858,43.77598,-0.4559698,2.222783,-608.7393
0.62,200,3.880507,4.816245,59.57178,39.91332,-0.5234499,-0.3072309,-40.93141
0.64,200,4.784782,5.574503,47.11376,31.81899,-0.4559698,-0.6034883,53.47853
0.66,200,5.677207,6.341482,46.57942,24.43468,-0.1185694,-1.236953,309.0473
0.68,200,6.424306,6.935495,39.26643,16.7115,-1.06329,4.334088,-1322.023
0.7,200,7.073225,7.444862,28.76262,9.793679,-0.7933693,-4.098743,736.0232
0.72,200,7.364549,7.53861,15.69391,2.363513,-0.5234499,-1.934711,332.3687
0.74,200,7.481594,7.513379,6.732071,-2.633725,-1.13077,1.889224,-778.4548
0.76,200,7.447242,7.376605,1.43436,-5.783723,-1.738089,-0.9407482,-322.1897
0.78,200,7.417354,7.312747,-0.2755641,-6.756748,-1.13077,-6.717186,1260.462
0.8,200,7.385568,7.270211,1.373291,-6.980379,-1.738089,1.005457,-725.2012
0.82,200,7.322705,7.197355,0.4267263,-7.063356,-1.06329,-6.233129,1188.373
0.84,200,7.304079,7.191797,1.296956,-6.573614,-1.46817,0.7997913,-582.7206
0.86,200,7.277089,7.168782,2.350391,-6.344825,-1.805569,-1.704597,-119.1777
0.88,200,7.323913,7.23915,1.266421,-5.766562,-2.075489,-2.785575,64.89211
0.9,200,7.33847,7.250114,0.3503905,-5.93752,-2.345409,-3.033596,59.47688
0.92,200,7.364734,7.277114,-0.2450293,-6.012861,-2.68281,-3.07602,-15.82288
0.94,200,7.329361,7.223294,-1.069457,-6.471041,-3.08769,-3.35149,-58.68223
0.96,200,7.332328,7.232521,-1.466404,-6.280835,-3.357609,-4.503647,154.0313
0.98,200,7.303481,7.197137,-0.4282355,-6.381865,-4.639729,-0.9451026,-1066.36
1,200,7.321067,7.227089,0.4419934,-6.051407,-4.639729,-9.296777,939.6479
1.02,-100,7.333724,7.241658,2.564131,-42.93828,-4.639729,-6.859374,434.3372
1.04,-100,7.36804,6.5436,1.92291,-66.51814,-5.989328,-1.22823,-1300.046
1.06,-100,7.322031,6.20309,0.3351234,-75.76319,-5.92185,-10.74515,986.7906
1.08,-100,6.981163,5.677224,-16.73359,-80.39973,-5.65193,-8.896736,695.8414
1.1,-100,6.193639,4.725903,-38.39771,-82.67528,-6.596649,-3.057814,-978.9539
1.12,-100,5.02917,3.458031,-50.16871,-81.59283,-8.41861,-3.809776,-1395.031
1.14,-100,3.737635,2.181719,-65.95498,-76.22897,-8.081209,-16.70911,1810.26
1.16,-100,2.302609,0.8108635,-83.19162,-68.75829,-9.633249,-5.354343,-1267.282
1.18,-100,0.8134442,-0.5610207,-80.00079,-59.38189,-10.17309,-13.77655,586.645
1.2,-100,-0.4757003,-1.640165,-67.54276,-47.78846,-9.025928,-18.72783,2220.923
1.22,-100,-1.608956,-2.556248,-62.53512,-36.55636,-10.84789,-1.983706,-2252.542
1.24,-100,-2.573033,-3.308718,-46.56565,-26.14118,-10.78041,-16.14052,1107.236
1.26,-100,-3.162703,-3.645869,-28.1229,-15.82611,-11.52269,-10.21364,-436.0207
1.28,-100,-3.290258,-3.510196,2.060315,-6.91234,-10.37553,-18.3655,1908.976
1.3,-100,-2.688633,-2.603743,25.14429,0.5844712,-11.65765,-3.743965,-1887.928
1.32,-100,-2.129439,-1.988928,24.27406,0.2480016,-11.38773,-14.65762,758.5837
1.34,-100,-1.625965,-1.522424,14.51833,-2.838784,-11.99505,-8.836911,-764.8868
1.36,-100,-1.704866,-1.811193,-10.56564,-9.27013,-12.87229,-9.962398,-786.8232
1.38,-100,-1.864061,-2.063823,-8.214498,-11.65857,-11.59017,-19.98212,2015.016
1.4,-100,-1.978485,-2.188479,-6.672513,-11.55179,-12.46741,-6.073484,-1508.888
1.42,-100,-2.187208,-2.417899,-13.78702,-11.42779,-12.53489,-13.5588,199.801
1.44,-100,-2.367439,-2.58229,-11.40534,-10.23921,-12.53489,-13.15874,132.2183
1.46,-100,-2.502192,-2.685222,-7.161062,-8.710969,-12.60237,-12.46837,-37.21536
1.48,-100,-2.63111,-2.790633,-10.51984,-7.471915,-11.65765,-16.05991,1119.933
1.5,-100,-2.791778,-2.941528,-6.779382,-6.553243,-11.65765,-9.121975,-520.0182
1.52,0,-2.802773,-2.896152,0.3961921,7.595644,-12.87229,-6.351233,-1601.39
1.54,0,-2.748462,-2.556437,0.4419934,16.52937,-12.73733,-15.95106,705.6949
1.56,0,-2.705496,-2.415393,1.037414,19.5025,-11.38773,-17.86359,1641.002
1.58,0,-2.547662,-2.193537,9.800775,20.95682,-11.65765,-6.838837,-1042.645
1.6,0,-2.140265,-1.706659,22.54887,21.96659,-12.87229,-6.502247,-1560.642
1.62,0,-1.249582,-0.6861079,47.77025,22.76866,-11.32025,-20.79425,2324.133
1.64,0,-0.1854028,0.4059618,52.85423,19.64412,-10.78041,-9.480228,-123.5855
1.66,0,0.8524346,1.366579,48.88476,13.25173,-11.92757,-3.35688,-1994.785
1.68,0,1.518377,1.82464,37.72445,4.075741,-11.99505,-12.91533,189.5086
1.7,0,1.609367,1.632414,2.991613,-5.342691,-10.44301,-17.80796,1854.772
1.72,0,0.8322967,0.508131,-25.95496,-13.53619,-10.44301,-6.578217,-825.1694
1.74,0,0.3355862,0.01799926,-19.90916,-11.43925,-10.44301,-9.508454,-208.3439
1.76,0,0.2001832,0.02087927,-7.313733,-6.494094,-10.44301,-10.39318,-14.94106
1.78,0,0.08867299,-0.02279612,-3.954955,-3.902913,-10.44301,-10.51699,11.87252
1.8,0,0.2054529,0.1893871,4.747338,-1.286322,-11.32025,-7.458512,-985.3641
1.82,0,0.3797376,0.4057104,7.28169,-0.5989925,-11.32025,-13.60337,476.502
1.84,0,0.4953716,0.5077437,4.823674,-1.472837,-11.32025,-12.09166,161.1304
1.86,0,0.6197884,0.620763,6.503064,-2.307202,-11.38773,-11.34126,-22.70379
1.88,0,0.7536238,0.7435648,5.846576,-3.165506,-10.51049,-14.71302,1059.623
1.9,0,0.8591465,0.8272283,4.915277,-4.264183,-10.44301,-8.516841,-384.6168
1.92,0,0.9972968,0.9582038,7.296957,-5.014649,-10.44301,-9.444477,-206.2915
1.94,0,1.116998,1.059833,5.449629,-6.045483,-11.38773,-6.745604,-1164.624
1.96,0,1.221938,1.145056,4.594666,-7.073032,-10.37553,-17.28978,1647.785
1.98,0,1.31337,1.217623,3.831308,-8.02222,-10.44301,-8.37995,-444.0645
2,0,1.341198,1.214316,0.8084057,-9.124996,-10.44301,-10.01578,-92.13565
2.02,-200,1.353148,1.208355,0.1519171,-34.3434,-11.32025,-7.277185,-1029.921
2.04,-200,1.343614,0.6934817,-0.7335792,-50.4884,-11.38773,-13.43937,405.5767
2.06,-200,1.30125,0.4565521,-2.046557,-56.55038,-10.44301,-15.85106,1316.748
2.08,-200,1.109955,0.1564121,-8.855719,-59.3125,-10.44301,-8.509165,-409.7767
2.1,-200,0.6197342,-0.4406775,-59.35955,-60.88659,-10.44301,-9.913038,-125.4176
2.12,-200,-0.8528722,-2.182556,-76.56567,-63.96307,-10.98285,-8.664215,-634.145
2.14,-200,-2.209917,-3.496609,-72.36719,-57.45572,-10.98285,-13.20407,429.9078
2.16,-200,-3.413794,-4.540416,-55.64963,-47.78253,-11.05033,-12.16986,195.6266
2.18,-200,-4.148683,-4.997938,-28.90153,-36.12106,-10.44301,-14.32203,927.6557
2.2,-200,-4.169216,-4.666556,2.136651,-24.76773,-10.78041,-8.207086,-591.3654
2.22,-200,-4.089731,-4.42842,7.571767,-19.99215,-10.84789,-10.75989,-16.01921
2.24,-200,-3.89356,-4.148135,4.961079,-18.04029,-9.700729,-14.80005,1321.076
2.26,-200,-4.050473,-4.384754,-32.64198,-20.00741,-9.83569,-5.813377,-852.3715
2.28,-200,-4.845619,-5.370939,-33.8939,-23.13153,-4.36981,-27.93061,6046.596
2.3,-200,-5.395691,-5.865045,-28.0771,-19.25499,-10.51049,31.82181,-10081.43
2.32,-200,-5.709236,-6.052018,-11.40534,-14.01515,-9.295849,-25.40163,3608.837
2.34,-200,-5.819973,-6.037252,2.640467,-9.577109,-9.025928,-10.73634,427.6951
2.36,-200,-5.64161,-5.725696,7.87711,-5.982957,-5.58445,-20.27589,3805.871
2.38,-200,-5.339867,-5.354735,14.74734,-4.906151,-5.58445,4.245178,-2009.096
2.4,-200,-5.132557,-5.170336,8.25879,-6.425373,-4.36981,-5.680893,556.2043
2.42,-200,-5.160833,-5.286759,-1.206862,-9.144695,-4.36981,0.8386703,-1061.99
2.44,-200,-5.097595,-5.229111,-3.588542,-9.559422,-4.23485,-2.582928,-293.5924
2.46,-200,-5.136364,-5.302361,-4.870985,-10.51877,-4.36981,-2.179244,-465.981
